issue_id,track_id,artifact_ref,severity,risk_code,evidence_excerpt,counterevidence,recommended_action,confidence,human_disposition,human_note,implementation_status
AI-CORE-R1-001,cognitive_review,runtime candidate quick/full,blocker,CANDIDATE_RUNTIME,"all four human gates are not_started while customer routes use candidate fallback","private beta response collection can be legitimate when clearly bounded","keep private beta only; do not promote; complete M04-M09",high,unreviewed,,open_human_only
AI-CORE-R1-002,reliability_and_structure,public propagation,blocker,CANDIDATE_PUBLICATION,"candidateSharing=false and candidateComparison=false","personal storage and owner read are useful for beta feedback","reject profile/share/feed/comparison at server boundary until validated/active",high,unreviewed,,fixed_server_policy
AI-CORE-R1-003,cognitive_review,NU-B1-003|023|033|050|053|056|058,major,NON_PASS_QUICK_ITEMS,"7 of 22 quick items carry COPY_REVISE/HOLD/CONSTRUCT_REWRITE labels","AI triage labels are not human exclusion decisions","human adjudication and cognitive probes before any promotion",high,unreviewed,,open_human_only
AI-CORE-R1-004,cognitive_review,RO-EC quick subset,major,SOCIAL_DESIRABILITY,"four quick items contrast attending to feelings with causes/problems","attention order is the intended construct and guardrail rejects moral ranking","test paraphrase and desirability probes; consider balanced wording after human review",high,unreviewed,,open_human_only
AI-CORE-R1-005,fairness_and_invariance,OE-IE|SE-AI|SM-EP|SM-OS,major,CONSTRUCT_IRRELEVANT_EXPOSURE,"items can depend on education/digital exposure/hierarchy/executive-function context","ordinary contexts and unsure option reduce forced responding","preregister subgroup hypotheses; run interviews and ordinal DIF",medium,unreviewed,,open_human_only
AI-CORE-R1-006,quantitative_pilot,candidate quick scoring,major,MINIMUM_EVIDENCE,"most quick facets require one valid response","short-form speed is a product requirement and adaptive questions address exact ties","simulate perturbations and lock minimum evidence from pilot data",high,unreviewed,,open_human_only
AI-CORE-R1-007,reliability_and_structure,score threshold 50,major,BOUNDARY_STABILITY,"50 maps to high symbol while 45-55 is boundary","adaptive follow-up and alternative-code UI disclose closeness","run response-perturbation stability and preregister tie handling",high,unreviewed,,open_human_only
AI-CORE-R1-008,reliability_and_structure,precision facet copy,major,CLAIM_EXCEEDS_ITEMS,"copy inferred visible expression proven effectiveness flexibility or ability beyond item behavior","editorial summaries help users understand scores","narrow copy to directly observed response tendencies",high,unreviewed,,fixed_copy
AI-CORE-R1-009,reliability_and_structure,candidate profile role names,major,ABILITY_ROLE_INFERENCE,"labels such as scientist counselor strategist and insight reader can imply occupation or ability","names are metaphors and the report contains ability guardrails","human editorial comprehension test and replace labels that users read as status claims",medium,unreviewed,,open_human_only
AI-CORE-R1-010,quantitative_pilot,pilot plan,major,NO_OBSERVED_SAMPLE,"no locked N loading attrition retest or subgroup cell inputs","the product is explicitly candidate and not validated","freeze sampling and power/simulation inputs before recruitment",high,unreviewed,,open_human_only
AI-CORE-R1-011,reliability_and_structure,5-axis 10-facet model,major,NO_STRUCTURE_EVIDENCE,"no EFA CFA omega retest or independent replication in this run","content mapping and balanced item counts support pilot preparation","run ordinal EFA then independent CFA competing models omega and retest",high,unreviewed,,open_human_only
AI-CORE-R1-012,fairness_and_invariance,database managed content,major,UNLOCKED_EXTERNAL_INPUT,"Assessment Studio can override repository fallback but no DB export was locked","fallback is deterministic and was fully hashed","export active DB document and rerun with a new run id",high,unreviewed,,open_external_input
AI-CORE-R1-013,reliability_and_structure,quick versus full,major,FORM_EQUIVALENCE,"same code language is used with 22 versus 60 items and different minimum evidence","both forms share the same constructs and source bank","estimate agreement uncertainty and define authority contract",high,unreviewed,,open_human_only
AI-CORE-R1-014,cognitive_review,all result copy,minor,TEMPORAL_GENERALIZATION,"results can be read as stable identity despite six-month response frame","report repeatedly says this answer and candidate reference","retain disclaimers and test identity-versus-current-pattern interpretation in M05",medium,unreviewed,,open_human_only
AI-CORE-R1-015,fairness_and_invariance,adaptive tie questions,blocker,FORCED_RESPONSE_ACCESS,"adaptive UI removes neutral and unsure options then converts 1/2 versus 4/5 to a vote","only exact midpoint domains receive three majority-vote follow-ups","restore an experience/access escape or validate a true bipolar format in cognitive and randomized testing",high,unreviewed,,open_human_only
AI-CORE-R1-016,cognitive_review,base and adaptive response anchors,major,RESPONSE_SCALE_AMBIGUITY,"labels mix agreement-like almost-not frequency and halfway while adaptive asks which direction is closer","six-month frequency instruction and four unsure reasons reduce ambiguity in base items","test event denominator and redesign adaptive anchors without changing the locked release",high,unreviewed,,open_human_only
