protocol_version,reviewer_slot,sequence,opaque_item_id,context_label,prompt_text,first_construct_mapping,second_construct_mapping,direction_guess,clarity_rating_1_4,single_response_rating_1_4,universality_rating_1_4,scale_fit_rating_1_4,desirable_direction_guess,risk_flags,fatal_risk_note,stage1_notes
m04-oe-expert-kit.v0.1,R08,1,OX-023,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,이용에 필요한 방법만 확인한다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,2,OX-013,평범한 일상 장면을 보고 있을 때,보이는 장면만 살펴보고 그대로 지나간다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,3,OX-034,일상에서 색과 빛이 어우러진 장면을 볼 때,그 인상에 눈길이 오래 머문다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,4,OX-015,일상에서 음악을 들을 때,소리와 분위기가 주는 인상에 관심이 간다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,5,OX-026,처음 보는 기능이 있는 생활용품을 사용할 때,어떻게 쓰는지만 확인하고 바로 사용한다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,6,OX-025,마음에 드는 장면이나 소리를 접한 뒤,그때의 느낌을 다시 떠올려본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,7,OX-008,가보지 않은 공간에 대한 설명을 접할 때,설명된 내용까지만 생각하고 넘어간다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,8,OX-036,하늘이나 나무 같은 일상 풍경을 볼 때,잠시 본 뒤 하던 일로 관심이 돌아간다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,9,OX-032,인터넷에서 같은 주제를 다르게 설명하는 글 두 개를 발견했을 때,한 글의 설명으로 이해되면 다른 글은 더 살펴보지 않는다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,10,OX-002,하나의 가벼운 가능성이 떠올랐을 때,뒤에 이어질 장면까지 펼쳐본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,11,OX-006,영화나 드라마의 중간 장면만 우연히 봤을 때,그 장면만 보고 앞뒤 이야기는 따로 떠올려보지 않는다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,12,OX-012,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,예전에 들은 내용과 어떻게 연결되는지 생각해본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,13,OX-028,현실과 다른 가벼운 가정을 접할 때,그 상황을 잠시 생각한 뒤 현재 내용으로 돌아온다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,14,OX-018,궁금했던 질문의 답을 찾았을 때,그 답이 나온 이유나 배경까지 더 알아본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,15,OX-001,이야기의 다음 내용을 알기 전,이어질 장면을 머릿속으로 떠올려본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,16,OX-029,처음 들어간 일상 공간을 둘러볼 때,분위기에는 눈길이 짧게 머문다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,17,OX-022,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,영상이나 대화를 이해할 만큼만 뜻을 확인한다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,18,OX-014,영상이나 사진의 한 장면을 볼 때,그 장면이 주는 인상을 곱씹어본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,19,OX-016,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,왜 그렇게 정해졌는지 배경이 궁금해진다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,20,OX-011,평범한 일상 장면을 보고 있을 때,다르게 이어질 장면을 떠올려본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,21,OX-024,일상에서 색과 빛이 어우러진 장면을 볼 때,잠깐 본 뒤 그대로 지나간다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,22,OX-004,일상에서 음악을 들을 때,그 인상에 머무는 시간은 짧다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,23,OX-027,처음 보는 기능이 있는 생활용품을 사용할 때,왜 그런 방식으로 작동하는지 궁금해진다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,24,OX-003,마음에 드는 장면이나 소리를 접한 뒤,곧 다른 생각으로 관심이 옮겨간다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,25,OX-033,가보지 않은 공간에 대한 설명을 접할 때,그곳의 모습을 머릿속으로 그려본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,26,OX-019,하늘이나 나무 같은 일상 풍경을 볼 때,색과 분위기가 주는 인상에 눈길이 간다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,27,OX-010,인터넷에서 같은 주제를 다르게 설명하는 글 두 개를 발견했을 때,각 글이 어떤 근거로 설명하는지 비교해본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,28,OX-030,하나의 가벼운 가능성이 떠올랐을 때,처음 떠오른 장면만 생각하고 다른 일로 넘어간다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,29,OX-005,영화나 드라마의 중간 장면만 우연히 봤을 때,그 장면 앞뒤에 무슨 일이 있었을지 떠올려본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,30,OX-009,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,지금 들은 설명에만 관심을 둔다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,31,OX-017,현실과 다른 가벼운 가정을 접할 때,그 안에서 일어날 장면을 이어서 떠올린다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,32,OX-021,궁금했던 질문의 답을 찾았을 때,답을 확인한 뒤에는 관련 내용을 더 찾아보지 않는다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,33,OX-031,이야기의 다음 내용을 알기 전,지금까지 나온 이야기만 되짚어보며 기다린다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,34,OX-035,처음 들어간 일상 공간을 둘러볼 때,그곳이 주는 분위기에 관심이 간다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,35,OX-020,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,그 개념이 정확히 무엇을 뜻하는지 더 알아본다.,,,,,,,,,,,
m04-oe-expert-kit.v0.1,R08,36,OX-007,영상이나 사진의 한 장면을 볼 때,그 인상은 짧게 지나간다.,,,,,,,,,,,
