claim_id,decision,construct_fit_rating_1_4,evidence_fit_rating_1_4,inference_scope_rating_1_4,language_safety_rating_1_4,risk_flags,required_revision,rationale,reviewer_confidence
"ENAKQ.crush.ambiguity","revise","3","2","2","4","unmeasured_inference","N 단일 경향의 조건부 예시와 N·A·Q 조합 가설을 분리하고 조합 문장은 상호작용 검증 전 노출하지 않는다.","가능성 탐색과 마음 읽기를 구분한 경계는 적절하지만 세 자리 조합이 부정적 관계 설명에 오래 머문다는 증분 효과는 측정되지 않았다.","high"
"ENAKQ.crush.attention","revise","3","2","3","4","evidence_mismatch","A 점수에서 관찰 행동을 바로 예측하지 말고 관계 주의의 자기보고 경향과 실제 표현 수정 행동을 별도 신호로 구분한다.","상대 상태에 주의가 향한다는 정의에는 맞지만 표현을 여러 번 고치고 속도를 맞춘다는 행동 일반화는 A 단일 점수의 근거 범위를 넘는다.","high"
"ENAKQ.crush.contact","accept","4","3","4","4","none","","연락 빈도에서 마음의 크기를 추론하지 않고 반복 행동과 명시적 의사를 함께 보라는 경계는 특정 유형을 단정하지 않으며 관계 불확실성의 개인차를 안전하게 다룬다.","high"
"ENAKQ.crush.context","revise","3","3","3","4","evidence_mismatch","관계 초기의 일반적 불확실성 근거와 각 ENAKQ 자리의 활성화 가능성을 분리하고 후자는 검증 전 자기성찰 질문으로만 제시한다.","관계 초기 불확실성과 상황 효과는 타당하지만 다섯 자리가 이 맥락에서 각각 더 두드러진다는 ENAKQ 고유 연결은 아직 직접 지지되지 않는다.","high"
"ENAKQ.crush.expression","revise","3","2","3","4","evidence_mismatch","대표 E가 아니라 교류 에너지와 표현 시작의 세부 점수에 조건화하고 관계 장면으로의 전이를 검증할 때까지 후보 행동임을 전면에 둔다.","표현 시작 경향과 능숙한 호감 표현을 구분한 점은 좋지만 복합 E에서 연애 초기 행동을 예측하는 근거는 부족하다.","high"
"ENAKQ.crush.reciprocity","revise","4","2","3","4","evidence_mismatch","성향 예측이 아닌 관계 관찰 가이드로 재분류하고 상호성 판단에 필요한 기간과 행동 범위를 정량 파일럿 전까지 특정하지 않는다.","제안과 참여가 서로 다른 기여일 수 있다는 설명은 유용하지만 ENAKQ 점수에서 도출되는 주장이라기보다 일반적 양자 관계 원칙이다.","medium"
"ENAKQ.crush.uncertainty","revise","3","2","3","4","evidence_mismatch","관계 불확실성 자체와 ENAKQ 특정 자리의 반응을 구분하며 점수와 맥락을 함께 측정한 자료가 생기기 전에는 ENAKQ 고유 반응으로 쓰지 않는다.","초기 관계의 불확실성은 일반적이지만 대표 코드가 무엇을 먼저 주목하는지 설명하는 부분은 직접 검증이 없다.","high"
"ENAKQ.daily.change","revise","3","2","2","4","unmeasured_inference","K·Q 점수와 갑작스러운 변화 장면의 생각 및 행동을 따로 측정하고 특정 지원법은 개인 반응 자료가 있을 때만 제공한다.","문제 해결과 내적 부담의 공존 가능성은 타당하나 변화 상황에서 K와 Q가 함께 이 패턴을 만든다는 추론과 회복 선택지는 검증 전이다.","high"
"ENAKQ.daily.conversation","revise","3","2","2","4","unmeasured_inference","교류 에너지·표현 시작·관계 주의의 세부 신호에 각각 연결하고 E·A 조합에서 배려적 발언 배분을 예측하지 않는다.","대화 시작과 교류 활성화는 E 후보 행동이지만 말하지 않은 사람에게 기회를 주는 행동은 A나 E의 점수만으로 도출되지 않는다.","high"
"ENAKQ.daily.decision","insufficient_evidence","2","1","2","4","unmeasured_inference","N·K 단일 경향과 결정 단계별 행동을 함께 측정한 자료 및 상호작용 검증이 필요하다.","선택지 확장 뒤 계획을 지속한다는 순차 모델은 직관적이지만 N·K 조합이 실제 결정 과정에서 이런 순서를 보인다는 근거가 없다.","high"
