claim_id,decision,construct_fit_rating_1_4,evidence_fit_rating_1_4,inference_scope_rating_1_4,language_safety_rating_1_4,risk_flags,required_revision,rationale,reviewer_confidence
ENAKQ.comparison.nonjudgment,accept,4,3,4,4,none,,"측정값을 상대의 속마음이나 관계 판정으로 확장하지 않는 안전 경계이며 현재 입력 범위를 넘는 개인화 추론을 요구하지 않는다.",high
ENAKQ.crush.boundary,accept,4,3,4,4,none,,"비공개 결과와 관찰 기록으로 호감·속마음을 추정하지 않도록 제한하는 제품 정책으로서 측정 범위와 잘 맞는다.",high
ENAKQ.crush.similarity,accept,4,4,4,4,none,,"유사성을 호감 확률로 변환하지 않는 결론은 제시된 연구의 제한을 명시하고 측정 밖 요인을 남겨 두어 추론 범위가 적절하다.",high
ENAKQ.evidence.ai_boundary,accept,4,3,4,4,none,,"비민감 보조 기능과 민감한 성향·호감·정신건강 추론을 구분한 안전 정책이며 검사 점수에서 새로운 심리 특성을 만들지 않는다.",high
ENAKQ.evidence.intended_use,accept,4,4,4,4,none,,"고용·보험·교육 등 고위험 의사결정과 관계 성공 예측을 금지한 사용 목적 경계가 측정 근거 수준에 부합한다.",high
ENAKQ.evidence.norms,accept,4,4,4,4,none,,"대표성 있는 규준이 없다는 사실과 앱 이용자 비율을 인구 규준으로 부르지 않는 제한이 정확하다.",high
ENAKQ.evidence.privacy,accept,4,3,4,4,none,,"원응답·과정·상태 자료를 기본 비공개로 두고 동의 범위만 사용하는 정책은 측정 결과의 민감도를 적절히 반영한다.",high
ENAKQ.evidence.versioning,revise,4,3,3,4,evidence_mismatch,"경계 점수와 추가 질문의 처리 규칙은 신뢰구간·재검사 정책·버전별 채점 규칙이 실제로 구현된 뒤에만 사실형으로 노출하고 그전에는 설계 원칙으로 표시한다.","측정 오차와 변동성 경계는 타당하지만 현재 문장은 아직 실행되지 않은 점수 처리까지 작동하는 것처럼 읽힐 수 있다.",high
ENAKQ.friend.similarity,accept,4,4,4,4,none,,"코드 유사성을 우정의 적합 확률로 해석하지 않고 대화 소재로만 제한해 dyadic 근거의 범위를 지킨다.",high
ENAKQ.growth.privacy,accept,4,3,4,4,none,,"선택형 행동 실험을 성향 변화나 등급으로 바꾸지 않고 개인 자료로 제한한 정책은 검사 점수와 개입 결과를 혼동하지 않는다.",high
ENAKQ.partner.similarity,accept,4,4,4,4,none,,"동일 코드 수를 궁합으로 환산하지 않고 측정된 차이를 직접 확인할 질문으로 제한하여 관계 결정론을 피한다.",high
ENAKQ.stress.clinical_boundary,accept,4,3,4,4,none,,"Q를 진단·원인·회복력으로 바꾸지 않고 기능 저하와 위기에는 별도 지원을 우선하는 경계가 적절하다.",high
ENAKQ.stress.safety,accept,4,3,4,4,none,,"위기·폭력 상황에서 성향 안내보다 안전 자원을 우선하고 민감 정보를 비교에 쓰지 않는 정책이 명확하다.",high
ENAKQ.work.boundary,accept,4,4,4,4,none,,"코드를 채용·성과·직무 적합성 판정에 쓰지 않는 제한은 성향 점수의 준거 타당도가 확보되지 않은 현재 단계에 필수적이다.",high
ENAKQ.boundary.variability,revise,4,3,3,4,evidence_mismatch,"개인 리포트에서 변동성을 언급하려면 점수 신뢰도·검사-재검사·상태 영향 자료와 불확실성 표기 규칙을 먼저 확정하고 현재는 일반 경계 문구로만 사용한다.","상태와 상황에 따른 변동 가능성은 지지되지만 ENAKQ 개인 점수의 변동 폭과 경계 처리 방식은 아직 검증되지 않았다.",high
ENAKQ.crush.ambiguity,insufficient_evidence,2,1,1,3,unmeasured_inference; evidence_mismatch,"운영 보류. N·Q 단일 점수로 호감 관계의 모호성 반응을 예측하지 말고 관계 불확실성·상황 강도·반복 반응을 직접 측정해 증분타당도를 확인한다.","인접 구성개념 설명만으로 특정 관계 장면의 사고·행동을 개인에게 발급할 수 없다.",high
ENAKQ.crush.attention,insufficient_evidence,2,1,1,3,unmeasured_inference; evidence_mismatch,"운영 보류. 상대에게 향한 주의 내용과 빈도를 직접 묻는 반복 장면 자료와 A 점수의 수렴·변별 자료를 확보한다.","A 영역 점수만으로 마음 가는 상대에게 어떤 정보가 먼저 신경 쓰이는지 추론하는 근거가 부족하다.",high
ENAKQ.crush.contact,insufficient_evidence,2,1,1,3,unmeasured_inference; evidence_mismatch,"운영 보류. 연락 시작 행동·상대 선택권·관계 단계·기회 요인을 직접 측정하고 E가 행동을 추가로 설명하는지 검증한다.","관계 맥락과 기회가 강하게 작용하는 연락 행동을 domain_scores로 예측하기 어렵다.",high
ENAKQ.crush.context,revise,3,2,3,4,evidence_mismatch,"호감 관계가 불확실성을 높일 수 있다는 일반 맥락 안내와 ENAKQ 개인 예측을 분리하고 개인화는 직접 측정한 관계 맥락 자료가 있을 때만 허용한다.","맥락 경계는 유용하지만 ENAKQ에게 특정 반응이 더 커진다는 표현은 현재 근거를 앞선다.",high
ENAKQ.crush.expression,insufficient_evidence,2,1,1,3,unmeasured_inference; evidence_mismatch,"운영 보류. 표현 방식과 실제 행동을 직접 측정하고 관계 단계·규범·상대 반응을 통제한 반복 자료를 확보한다.","E 점수와 상황 변산만으로 호감 표현 행동의 형태를 정할 수 없다.",high
ENAKQ.crush.fact_check,revise,3,2,3,4,evidence_mismatch,"성향 맞춤 처방이 아니라 모든 사용자가 선택할 수 있는 자기관찰 도구로 제공하고 효용·부작용·이탈을 파일럿에서 확인한다.","사실과 추측 구분은 안전하지만 ENAKQ 점수로 추천해야 한다는 측정 근거는 없다.",medium
ENAKQ.crush.prompt,revise,3,2,3,4,evidence_mismatch,"코드 기반 자동 추천을 제거하고 현재 관계에서 사용자가 직접 고르는 대화 질문으로 운영한 뒤 이해도와 실제 유용성을 평가한다.","대화 질문의 효용은 제품 가설이며 성향 점수에서 도출된 검증 결과가 아니다.",medium
ENAKQ.crush.reciprocity,insufficient_evidence,2,1,1,3,unmeasured_inference; relationship_determinism,"운영 보류. 상호성은 양측 행동·관계 단계·동의·기회 자료로 측정하고 한 사람의 코드로 상대 반응이나 관계 의도를 추정하지 않는다.","단일 사용자의 domain_scores와 관계 맥락만으로 두 사람의 상호작용을 설명할 수 없다.",high
ENAKQ.crush.self_check,revise,3,2,3,4,evidence_mismatch,"평가 점수와 분리된 선택형 일반 체크리스트로 제공하고 ENAKQ 전용 효과를 주장하지 않으며 사용자 안전성과 인지 이해도를 검토한다.","자기관찰 질문은 합리적이지만 점수 기반 개인화 근거가 없다.",medium
