protocol_version,packet_version,reviewer_id,reviewer_role,wave_id,sequence_in_wave,claim_id,claim_kind,canonical_section,priority,contexts,evidence_status,publication_state,privacy_scope,required_signals,content_key,source_block_ref,source_section_title,source_excerpt,external_evidence,internal_evidence,review_reason,decision,construct_fit_rating_1_4,evidence_fit_rating_1_4,inference_scope_rating_1_4,language_safety_rating_1_4,risk_flags,required_revision,rationale,reviewer_confidence,conflict_of_interest
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,1,ENAKQ.friend.reciprocity,observable_response,friend,high,friend,COGNITIVE_REVIEW_REQUIRED,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.reciprocity,ENAKQ-P8-05,친구와 가까워지는 방식,"관계를 이어가는 노력의 양이 달라 보이면 오해가 생길 수 있어요. 한 사람은 약속을 먼저 제안하고 다른 사람은 제안에 기쁘게 참여하는 방식으로 관계에 기여할 수 있어요. 먼저 연락하는 사람은 나만 노력한다고 느끼고, 기다리는 사람은 친구가 원할 때 연락해 주는 편이 편하다고 생각할 수 있어요. 행동 횟수만 비교하면 서로 다른 기여 방식을 놓칠 수 있어요. 서운함이 생겼을 때에는 인물 평가보다 구체적인 장면을 말하는 편이 좋아요. 너는 관계에 관심이 없어보다 최근 세 번은 내가 먼저 약속을 물어서, 가끔은 네가 먼저 제안해 주면 좋겠어처럼 경험과 바람을 분리할 수 있어요. ENAKQ가 상대 마음을 많이 추측하는 대신 자신이 원하는 행동을 말하면 친구도 대응할 정보를 얻어요. 친구 사이의 어긋남을 반드시 깊은 대화로 해결해야 하는 것은 아니에요. 짧게 사과하고 다음 약속을 다르게 잡는 것이 충분할 수도 있고, 시간을 둔 뒤 이야기하는 편이 나을 수도 있어요. 관계의 중요도와 문제의 크기, 서로의 여유를 확인해야 해요. 안전하지 않거나 반복적으로 경계를 무시하는 관계에는 계속 조율하라는 안내를 제공하지 않아요.",FRIEND-DAILY 간접,ENAKQ Part 3 claim mapping,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,2,ENAKQ.friend.repair,observable_response,friend,high,friend,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.repair,ENAKQ-P8-05,친구와 가까워지는 방식,"관계를 이어가는 노력의 양이 달라 보이면 오해가 생길 수 있어요. 한 사람은 약속을 먼저 제안하고 다른 사람은 제안에 기쁘게 참여하는 방식으로 관계에 기여할 수 있어요. 먼저 연락하는 사람은 나만 노력한다고 느끼고, 기다리는 사람은 친구가 원할 때 연락해 주는 편이 편하다고 생각할 수 있어요. 행동 횟수만 비교하면 서로 다른 기여 방식을 놓칠 수 있어요. 서운함이 생겼을 때에는 인물 평가보다 구체적인 장면을 말하는 편이 좋아요. 너는 관계에 관심이 없어보다 최근 세 번은 내가 먼저 약속을 물어서, 가끔은 네가 먼저 제안해 주면 좋겠어처럼 경험과 바람을 분리할 수 있어요. ENAKQ가 상대 마음을 많이 추측하는 대신 자신이 원하는 행동을 말하면 친구도 대응할 정보를 얻어요. 친구 사이의 어긋남을 반드시 깊은 대화로 해결해야 하는 것은 아니에요. 짧게 사과하고 다음 약속을 다르게 잡는 것이 충분할 수도 있고, 시간을 둔 뒤 이야기하는 편이 나을 수도 있어요. 관계의 중요도와 문제의 크기, 서로의 여유를 확인해야 해요. 안전하지 않거나 반복적으로 경계를 무시하는 관계에는 계속 조율하라는 안내를 제공하지 않아요.",제품 대화 가설,ENAKQ Part 3 claim mapping,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,3,ENAKQ.friend.support,conversation_prompt,friend,high,friend,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.support,ENAKQ-P8-03,친구와 가까워지는 방식,"친구가 고민을 말하면 상대 마음이 먼저 신경 쓰일 수 있어요. 실제 반응은 과정 자료에 따라 달라져요. A→A에 가까운 사람은 친구가 느낀 마음과 더 말하고 싶은 부분을 먼저 확인할 수 있고, A→G에 가까운 사람은 마음이 신경 쓰이면서도 사건의 원인이나 가능한 해결부터 정리할 수 있어요. 어느 쪽이 더 좋은 친구를 뜻하지 않아요. 친구가 기대한 반응과 실제 반응이 다르면 선의가 있어도 서운함이 생길 수 있어요. 들어주길 원했는데 해결 방법이 이어지면 평가받는 느낌이 들 수 있고, 당장 방법이 필요한데 마음만 물으면 답답하게 느껴질 수 있어요. 지금은 그냥 들어줄까, 같이 방법을 찾아볼까?라는 질문은 두 사람의 성향을 맞히는 대신 현재 필요한 대화 방식을 확인해요. 친구의 이야기를 듣는 동안 본인의 여유도 중요해요. A가 선명하다고 언제든 고민을 들어줘야 하는 것은 아니에요. 오늘은 길게 듣기 어렵지만 내일 다시 이야기할 수 있어, 이 문제는 내가 도울 수 있는 범위를 넘는 것 같아처럼 가능한 범위를 말하는 것은 관계 관심이 부족하다는 뜻이 아니에요.",SUPPORT-MATCHING+과정 계약,ENAKQ Part 3 claim mapping,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,4,ENAKQ.general.definition.A,definition,five_code_positions,high,general,QUANT_VALIDATION_REQUIRED,research_only,public_safe,domain_scores,trait-map.enakq.general.definition.a,ENAKQ-P3-A-01,다섯 코드 자리 깊이 보기,"세 번째 글자 A는 관계 상황에서 상대가 어떤 마음인지 자연스럽게 살펴보는 쪽에 가까운 방향이에요. 누군가 속상한 일을 이야기하면 해결 방법도 생각할 수 있지만, 그 사람이 지금 어떤 기분인지, 무엇 때문에 힘든지, 어떤 반응을 원하는지가 먼저 신경 쓰일 수 있어요. 반대 방향 G는 상대의 마음을 무시하는 글자가 아니에요. 관계 문제에서 무슨 일이 있었고, 원인이 무엇이며, 어떻게 풀 수 있을지에 관심이 더 가는 방향이에요. A도 해결을 생각하고 G도 마음을 살필 수 있어요. 둘의 차이는 능력이나 착함이 아니라 관계 장면에서 관심이 자연스럽게 어디로 향하는가에 있어요.",IPC-2013 간접 근거; IPC+RO-EC 정의,"RO-EC item bank, DETAIL-ARCH; ENAKQ Part 4 claim mapping","필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,5,ENAKQ.general.definition.E,definition,five_code_positions,high,general,NUANG_MAPPED_PROVISIONAL,research_only,public_safe,domain_scores,trait-map.enakq.general.definition.e,ENAKQ-P3-E-01,다섯 코드 자리 깊이 보기,"ENAKQ의 첫 글자 E는 사람들과 함께할 때 활력이 올라가는 경향과 필요한 말을 먼저 꺼내는 경향을 함께 살펴본 대표 방향이에요. 혼자 있는 것을 싫어한다는 뜻도, 항상 활발하다는 뜻도 아니에요. 좋아하는 사람과 이야기할 때 생각이 선명해지거나, 함께 무언가를 할 때 참여할 힘이 생기거나, 필요한 순간에 대화를 시작하는 쪽이 상대적으로 더 가깝다는 뜻이에요. E 아래에는 적어도 두 가지 세부 모습을 따로 봐야 해요. 첫 번째는 사람들과 함께한 뒤 에너지가 살아나는지, 혼자 정리할 때 회복되는지를 보는 함께할 때의 에너지예요. 두 번째는 의견·질문·선택지를 먼저 밖으로 꺼내는지를 보는 먼저 표현하기예요. 둘은 관련될 수 있지만 같은 모습은 아니에요. 사람들과 있는 시간을 좋아하면서도 먼저 말을 꺼내기까지 오래 살피는 사람이 있어요. 반대로 회의나 모임에서 필요한 말은 빠르게 하지만, 긴 교류 뒤에는 혼자 쉬어야 회복되는 사람도 있어요. 대표 E는 두 세부 성향을 한 글자로 기억하게 해 주지만, 개인 결과에서는 어느 쪽이 더 선명한지 반드시 나눠 보여줘야 해요.","BFI2, BFAS, Extraversion-PA; Part 1 근거+SE 정의","CODE-SCHEME, DIRECTION-COPY; ENAKQ Part 4 claim mapping","필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,6,ENAKQ.general.definition.K,definition,five_code_positions,high,general,QUANT_VALIDATION_REQUIRED,research_only,public_safe,domain_scores,trait-map.enakq.general.definition.k,ENAKQ-P3-K-01,다섯 코드 자리 깊이 보기,"네 번째 글자 K는 해야 할 일을 시작하고 이어가며 정리하는 흐름이 상황에 따라 크게 달라지기보다 비교적 꾸준한 쪽에 가까운 방향이에요. 계획을 좋아한다는 뜻만도 아니고, 모든 일을 끝까지 완벽하게 해낸다는 뜻도 아니에요. 시작·복귀·지속·정리와 관련된 여러 행동을 함께 살펴본 대표 방향이에요. K 아래에서는 시작하고 이어가기와 정리하고 계획하기를 나눠 봐야 해요. 해야 할 일을 바로 시작하고 중간에 멈춰도 다시 돌아오는 힘은 있지만, 물건·시간·절차를 정돈하는 데에는 관심이 적을 수 있어요. 반대로 계획표와 정리된 환경은 좋아하지만 실제 과제를 오래 이어가기 어려울 수도 있어요. 맡은 일을 이행하는 경향을 세 번째 세부 성향으로 둘지는 별도 검증 중이에요.","BFI2, BFAS; BFI2·BFAS+SM 정의; BFI2/BFAS+SM 정의","SM construct, DETAIL-ARCH; ENAKQ Part 2 claim mapping; ENAKQ Part 3 claim mapping; ENAKQ Part 4 claim mapping","필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,7,ENAKQ.general.definition.N,definition,five_code_positions,high,general,NUANG_MAPPED_PROVISIONAL,research_only,public_safe,domain_scores,trait-map.enakq.general.definition.n,ENAKQ-P3-N-01,다섯 코드 자리 깊이 보기,"두 번째 글자 N은 보이는 내용 너머의 가능성, 새로운 원리와 관점을 더 탐색하는 쪽에 가까운 방향이에요. 익숙한 사실을 무시하거나 현실 판단이 약하다는 뜻이 아니에요. 하나의 장면을 본 뒤 앞뒤 이야기를 떠올리거나, 다른 설명이 가능한지 궁금해하거나, 처음 보는 방식과 아이디어를 더 살펴보는 관심을 말해요. 뉴앙의 N은 널리 알려진 MBTI의 N과 가능성·패턴에 관심을 둔다는 점에서 친숙하게 느껴질 수 있지만, 같은 검사나 같은 점수는 아니에요. 뉴앙은 반대 방향을 S가 아닌 R로 표시하고, N 아래를 미적 경험·상상 확장·지적 탐구로 나누어 독자 문항으로 측정해요. MBTI의 N 결과를 뉴앙 N으로 자동 변환할 수 없어요.","BFI2, BFAS, Openness-Intellect; BFI2+OE 정의","CODE-SCHEME, DIRECTION-COPY; ENAKQ Part 4 claim mapping","필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,8,ENAKQ.general.definition.Q,definition,five_code_positions,high,general,QUANT_VALIDATION_REQUIRED,research_only,public_safe,domain_scores,trait-map.enakq.general.definition.q,ENAKQ-P3-Q-01,다섯 코드 자리 깊이 보기,"다섯 번째 글자 Q는 불편한 상황에서 걱정과 감정이 비교적 빠르게 커질 수 있는 방향이에요. 갈등, 실패, 불확실한 답, 예상하지 못한 변화처럼 마음이 편하지 않은 상황을 기준으로 봐요. 기쁨이나 즐거움이 풍부한지, 감수성이 높은지, 타인의 감정을 잘 알아차리는지는 Q가 측정하는 내용이 아니에요. Q 아래에는 감정 동요와 걱정·주저가 있어요. 감정 동요는 좌절이나 갈등에서 불편한 감정이 얼마나 빠르게 커지는지를 살펴봐요. 걱정·주저는 결과가 불확실하거나 평가받는 상황에서 걱정이 이어지고 행동을 망설이는 정도를 살펴봐요. 한쪽은 선명하고 다른 한쪽은 가운데에 가까울 수 있어요. 예를 들어 갈등이 생기면 감정은 빠르게 올라오지만, 결과를 오래 걱정하거나 행동을 미루지는 않을 수 있어요. 반대로 겉으로 큰 감정 변화는 적어도 선택의 결과를 오래 걱정하며 시작을 망설일 수 있어요. 대표 Q만 보고 두 모습이 항상 함께 나타난다고 설명하지 않아요.","BFI2, BFAS; ER 정의+BFAS/BFI2","ER construct, DETAIL-ARCH; ENAKQ Part 4 claim mapping","필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,9,ENAKQ.general.inner.A,inner_thought,five_code_positions,high,general,QUANT_VALIDATION_REQUIRED,research_only,self_only,domain_scores;private_process_signals,trait-map.enakq.general.inner.a,ENAKQ-P3-A-01,다섯 코드 자리 깊이 보기,"세 번째 글자 A는 관계 상황에서 상대가 어떤 마음인지 자연스럽게 살펴보는 쪽에 가까운 방향이에요. 누군가 속상한 일을 이야기하면 해결 방법도 생각할 수 있지만, 그 사람이 지금 어떤 기분인지, 무엇 때문에 힘든지, 어떤 반응을 원하는지가 먼저 신경 쓰일 수 있어요. 반대 방향 G는 상대의 마음을 무시하는 글자가 아니에요. 관계 문제에서 무슨 일이 있었고, 원인이 무엇이며, 어떻게 풀 수 있을지에 관심이 더 가는 방향이에요. A도 해결을 생각하고 G도 마음을 살필 수 있어요. 둘의 차이는 능력이나 착함이 아니라 관계 장면에서 관심이 자연스럽게 어디로 향하는가에 있어요.",상태·과정 방법론; IPC 간접+PROCESS-BANK,RO-EC process pilot; ENAKQ Part 2 claim mapping,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,psychometrics,W2,10,ENAKQ.general.q.activation,inner_thought,five_code_positions,high,general,NUANG_MAPPED_PROVISIONAL,research_only,comparison_safe,domain_scores,trait-map.enakq.general.q.activation,ENAKQ-P3-Q-01,다섯 코드 자리 깊이 보기,"다섯 번째 글자 Q는 불편한 상황에서 걱정과 감정이 비교적 빠르게 커질 수 있는 방향이에요. 갈등, 실패, 불확실한 답, 예상하지 못한 변화처럼 마음이 편하지 않은 상황을 기준으로 봐요. 기쁨이나 즐거움이 풍부한지, 감수성이 높은지, 타인의 감정을 잘 알아차리는지는 Q가 측정하는 내용이 아니에요. Q 아래에는 감정 동요와 걱정·주저가 있어요. 감정 동요는 좌절이나 갈등에서 불편한 감정이 얼마나 빠르게 커지는지를 살펴봐요. 걱정·주저는 결과가 불확실하거나 평가받는 상황에서 걱정이 이어지고 행동을 망설이는 정도를 살펴봐요. 한쪽은 선명하고 다른 한쪽은 가운데에 가까울 수 있어요. 예를 들어 갈등이 생기면 감정은 빠르게 올라오지만, 결과를 오래 걱정하거나 행동을 미루지는 않을 수 있어요. 반대로 겉으로 큰 감정 변화는 적어도 선택의 결과를 오래 걱정하며 시작을 망설일 수 있어요. 대표 Q만 보고 두 모습이 항상 함께 나타난다고 설명하지 않아요.","BFI2, BFAS; BFI2·BFAS+ER-WD; BFI2·BFAS+ER 정의; ER 정의+BFAS/BFI2",ER-WD·ER-IR; ENAKQ Part 2 claim mapping; ENAKQ Part 3 claim mapping; ENAKQ Part 4 claim mapping,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토",,,,,,,,,,
