opaque_item_id,revision_candidate_id,reviewer_slot,first_construct_mapping,second_construct_mapping,direction_guess,risk_flags,fatal_risk_note,stage1_notes,recommendation,final_rationale
NV2-001,SMRL-C11-r2,R01,SM_RL,METHOD,HIGH,NONE,NONE,약속 이행을 묻지만 알림 없이 기억하는 능력이 응답을 함께 좌우할 수 있다.,COPY_REVISE,약속 이행은 SM-RL HIGH에 맞지만 알림 없이 기억하는 능력과 SM-EP가 함께 응답을 좌우하므로 기억 조건을 덜어내야 한다.
NV2-001,SMRL-C11-r2,R02,SM_RL,METHOD,HIGH,NONE,NONE,약속 이행이 중심이지만 알림 없이 기억하는 것과 실제로 하는 것이 함께 들어가며 기억력의 영향도 받을 수 있다.,COPY_REVISE,약속한 일을 이행한다는 HIGH 방향은 맞지만 알림 없이 기억하는 능력과 실제 이행이 함께 들어가 METHOD와 SM-EP의 영향이 커진다.
NV2-001,SMRL-C11-r2,R03,SM_RL,METHOD,HIGH,NONE,NONE,약속한 일을 이행하는 뜻은 분명하지만 알림이 없는 조건 때문에 기억력과 알림 사용 습관이 답을 좌우할 수 있다. 이런 부탁을 받은 횟수가 적으면 6개월 빈도 응답도 불안정하다.,CONSTRUCT_REWRITE,약속한 일을 이행한다는 HIGH 방향은 맞지만 알림이 없는 조건이 기억력과 도구 사용 습관을 강하게 측정한다. 짧은 부탁이라는 제한도 경험 빈도를 낮출 수 있어 역할·기한·변경을 확인하고 이행하는 보편적 장면으로 다시 구성해야 한다.
NV2-001,SMRL-C11-r2,R04,METHOD,SM_RL,UNCLEAR,NONE,NONE,알림 없이 챙긴다는 조건이 전향기억과 알림 사용 습관을 크게 반영해 역할 이행 성향과 능력 효과가 분리되지 않는다.,CONSTRUCT_REWRITE,약속 이행은 SM-RL HIGH와 관련되지만 알림 없이 챙기는지가 전향기억과 알림 사용 습관을 지배적으로 측정하므로 역할 확인과 이행 행동 중심으로 다시 구성해야 한다.
NV2-001,SMRL-C11-r2,R05,METHOD,SM_RL,UNCLEAR,NONE,알림이 없는 조건에서는 약속 이행 성향뿐 아니라 비보조 기억 능력이 응답을 직접 좌우한다.,약속한 일을 이행하는 내용은 SM_RL과 맞지만 알림 없이 기억해내는 능력 요구가 강하다. 부탁의 사소함과 완료 시간이 제한되지 않아 최근 빈도 판단 기준도 개인마다 달라질 수 있다.,CONSTRUCT_REWRITE,약속한 일을 한다는 표면 내용과 고방향 키는 SM-RL에 맞지만 알림 없이 기억해내는 능력이 응답을 크게 지배한다. 비보조 기억이나 일반 실행력과 분리해 다른 사람과 정한 역할 또는 기한을 확인하고 이행하는 반응으로 다시 구성해야 한다.
NV2-001,SMRL-C11-r2,R06,METHOD,SM_RL,HIGH,NONE,NONE,알림 없이 챙긴다는 조건이 맡은 일 이행보다 예비기억·주의·보조도구 사용 여부를 크게 반영한다. 돌봄 부담·인지 특성·알림 접근성·부탁을 주고받는 관계 역할이 다르고 약속 이행은 도덕적 평가를 의식하게 한다.,CONSTRUCT_REWRITE,약속한 일을 한다는 부분은 SM-RL HIGH와 맞지만 알림이 없어도 챙긴다는 조건이 예비기억·주의·보조도구 미사용을 주로 측정한다. 장애·돌봄 부담·알림 접근성에 따른 차이를 역할 이행으로 오인하고 도덕적 바람직성도 큰 문항이라 알림 사용과 무관하게 확인·이행하는 반응으로 다시 구성해야 한다.
NV2-002,SMOS-C10-r2,R01,SM_OS,NONE,LOW,NONE,NONE,자료 위치를 고정 기준보다 당시 편의에 따라 정하는 반응이다.,KEEP,자료 위치를 고정 기준 대신 당시 편의로 정하는 반응이 SM-OS LOW를 직접 나타내고 인접 구성개념과도 잘 분리된다.
NV2-002,SMOS-C10-r2,R02,SM_OS,NONE,LOW,NONE,NONE,뜻이 바로 들어오며 상황 라벨과 질문의 정보가 크게 겹치지 않는다.,KEEP,자료의 위치를 고정하지 않고 상황에 따라 정한다는 뜻이 분명해 SM-OS의 LOW 방향을 직접 보여 준다.
NV2-002,SMOS-C10-r2,R03,SM_OS,NONE,LOW,NONE,NONE,한 번에 뜻이 잡히고 보관 위치를 정하는 반복 반응에 집중한다. 다만 정해둔 자리가 있는 쪽이 바람직해 보일 수 있다.,KEEP,보관 위치를 고정 기준으로 정하는지 직접 묻고 LOW 방향도 정확하다. 모바일에서 한 번에 읽히며 다른 실행 성향과의 혼입이 작아 위치 구조화 범위를 안정적으로 보탠다.
NV2-002,SMOS-C10-r2,R04,SM_OS,NONE,LOW,NONE,NONE,자료 위치를 고정 기준으로 정하는지 묻는 단일 반응으로 반복적 정리 경향이 비교적 직접 관찰된다.,KEEP,자료 위치를 고정 기준으로 구조화하는지 직접 대비하여 SM-OS LOW와 잘 맞고 실행 지속성이나 역할 이행으로의 이탈도 작다.
NV2-002,SMOS-C10-r2,R05,SM_OS,NONE,LOW,NONE,NONE,고정 기준보다 당시 편의에 따라 보관 위치를 정하는 저방향 반응을 직접 묻는다. 자료가 종이인지 디지털인지와 보관 환경에 따라 같은 문장의 적용 방식은 달라질 수 있다.,KEEP,반복해서 찾을 자료의 위치를 고정 기준보다 당시 편의에 따라 정하는 반응이 SM-OS 저방향을 직접 나타낸다. 종이와 디지털 자료에서 적용 방식은 달라도 위치 구조화라는 핵심은 유지되며 실행 지속이나 역할 이행과도 잘 구분된다.
NV2-002,SMOS-C10-r2,R06,SM_OS,NONE,LOW,NONE,NONE,자료의 물리·디지털 형태와 개인 공간 보유 여부가 명시되지 않았다. 공동생활 공간·이동성·장애 보조 방식·보관 권한에 따라 정해둔 자리를 쓰기 어려울 수 있고 정리된 모습을 바람직하게 보이는 편향도 가능하다.,COPY_REVISE,고정 기준보다 상황에 따라 위치를 정하는 SM-OS LOW를 직접 다룬다. 다만 자료의 물리·디지털 형태와 개인 보관 공간·권한·접근성 차이가 성향처럼 채점될 수 있으므로 다양한 보관 환경에서도 같은 비교가 되도록 문구를 다듬을 필요가 있다.
NV2-003,ERWD-C06-r2,R01,ER_WD,NONE,LOW,NONE,NONE,평가 걱정이 반복되어 지연되는지의 반대 방향을 분명히 묻는다.,COPY_REVISE,반복 걱정의 부재는 LOW 방향에 맞지만 결정이나 착수 지연까지 연결되지 않아 ER-WD의 행동적 경계를 보강할 필요가 있다.
NV2-003,ERWD-C06-r2,R02,ER_WD,NONE,LOW,NONE,NONE,걱정이 생겨도 뒤에 부정형이 이어져 뜻을 한 번 더 풀어 읽게 하며 빈도 응답도 약간 까다롭다.,COPY_REVISE,걱정의 반복이 적다는 LOW 방향은 맞지만 앞의 양보 표현과 뒤의 부정형이 겹쳐 바로 이해하거나 빈도로 답하기가 조금 어렵다.
NV2-003,ERWD-C06-r2,R03,ER_WD,NONE,LOW,NONE,NONE,걱정의 반복 여부는 읽히지만 부정형을 처리해야 하고 결정이나 착수의 지연은 확인하지 않는다. 다른 사람이 확인하는 경험의 빈도도 사람마다 다를 수 있다.,COPY_REVISE,걱정 생각이 반복되지 않는 LOW 방향은 맞지만 결정이나 착수의 주저까지는 담지 않는다. 모바일에서 부정형을 한 번 더 해석해야 하므로 낮은 방향을 유지하면서 반복 걱정이 행동을 늦추지 않는다는 반응으로 다듬는 편이 낫다.
NV2-003,ERWD-C06-r2,R04,ER_WD,NONE,LOW,NONE,NONE,반복 걱정은 직접 다루지만 결정이나 착수 지연이 제시되지 않아 순간적 평가불안과 지속 성향의 경계가 남는다.,COPY_REVISE,걱정의 비반복은 ER-WD LOW에 맞지만 결정이나 착수 지연이 없어 일시적 평가불안 및 일반적 반추와 충분히 분리되지 않으므로 행동 지연 여부를 보강해야 한다.
NV2-003,ERWD-C06-r2,R05,ER_WD,METHOD,LOW,NONE,NONE,걱정의 반복이 없다는 저방향 단서는 분명하지만 걱정 발생을 전제한 부정문이다. 걱정이 처음부터 거의 없는 사람은 답하기 어렵고 결정이나 착수 지연은 확인하지 않는다.,COPY_REVISE,같은 걱정이 반복되지 않는다는 내용은 ER-WD 저방향과 맞지만 결정이나 착수의 지연까지는 포착하지 않는다. 걱정 발생을 전제한 부정문이라 걱정이 거의 없는 응답자에게도 자연스럽고 단일하게 답할 수 있도록 수정할 필요가 있다.
NV2-003,ERWD-C06-r2,R06,ER_WD,METHOD,LOW,NONE,NONE,부정형과 걱정 발생 뒤 반복되지 않는다는 두 단계 판단이 빈도 응답을 어렵게 할 수 있다. 타인의 확인을 받는 역할 노출과 평가 문화가 다르며 걱정이 적어 보이려는 낙인·사회적 바람직성 영향도 가능하다.,COPY_REVISE,걱정이 반복되지 않는다는 ER-WD LOW 방향은 맞지만 결정·착수의 주저까지 연결되지 않고 부정형의 두 단계 판단이 빈도 응답을 어렵게 한다. 평가받는 역할 노출과 불안 낙인도 영향을 주므로 더 단순하고 비낙인적인 행동 표현으로 수정하는 편이 좋다.
NV2-004,OEIE-C10-r2,R01,OE_IE,NONE,LOW,NONE,NONE,필요한 답에서 탐구를 멈추는 반복 반응을 직접 묻는다.,KEEP,필요한 답에서 멈추는 반응이 OE-IE의 LOW 앵커를 직접 나타내며 능력이나 접근성과도 잘 분리된다.
NV2-004,OEIE-C10-r2,R02,OE_IE,NONE,LOW,NONE,NONE,필요한 답을 얻은 뒤 더 알아보지 않는 한 가지 반응이 간결하고 분명하다.,KEEP,필요한 답을 얻은 뒤 더 탐색하지 않는다는 한 가지 반응이 간결하며 OE-IE의 LOW 앵커와 정확히 맞는다.
NV2-004,OEIE-C10-r2,R03,OE_IE,NONE,LOW,NONE,NONE,필요한 범위에서 탐색을 멈추는 반응이 짧고 직접적이다. 더 알아보는 쪽이 지적으로 바람직해 보일 가능성은 남는다.,KEEP,필요한 답을 얻은 뒤 탐색을 멈추는 LOW 앵커를 짧고 정확하게 담는다. 모바일에서 추가 추론 부담이 적고 이해 능력보다 탐구 범위의 선택에 초점이 있어 OE-IE의 낮은 방향을 유용하게 보완한다.
NV2-004,OEIE-C10-r2,R04,OE_IE,NONE,LOW,NONE,NONE,필요한 범위에서 탐색을 멈추는 반복 경향을 직접 묻고 있어 능력보다는 성향 신호가 뚜렷하다.,KEEP,필요한 답 뒤에 탐색을 멈추는 행동이 OE-IE의 LOW 앵커를 직접 나타내며 능력이나 다른 개방성 성향의 개입도 작다.
NV2-004,OEIE-C10-r2,R05,OE_IE,NONE,LOW,NONE,NONE,필요한 답 뒤에는 추가 탐구를 멈춘다는 저방향 앵커와 직접 대응한다. 효율성과 호기심 중 무엇을 선호하는지에 따라 바람직한 방향은 뚜렷하지 않다.,KEEP,필요한 답을 얻은 뒤 추가 탐구 없이 넘어가는 반응이 OE-IE 저방향 앵커와 정확히 맞는다. 효율성이나 지적 능력을 직접 평가하지 않으면서 탐구 범위를 묻기 때문에 인접 성향과의 분리도 양호하다.
NV2-004,OEIE-C10-r2,R06,OE_IE,NONE,LOW,NONE,NONE,설명을 접하는 매체·언어·교육 환경은 다양하지만 필요한 답 뒤 더 알아보는지라는 경향은 비교적 폭넓게 답할 수 있다. 효율적으로 넘어감과 더 탐구함이 모두 긍정적으로 해석될 수 있어 특정 방향의 바람직성은 약하다.,KEEP,필요한 답에서 탐색을 멈추는 OE-IE LOW를 지능·학력·검색 기술과 분리해 간결하게 묻는다. 효율성과 추가 탐구가 모두 긍정적으로 해석될 수 있어 특정 방향을 낙인화하는 압력도 비교적 낮으며 LOW 범위에 유용하게 기여한다.
