candidate_id,opaque_item_id,target_facet,reviewer_slot,first_construct_mapping,second_construct_mapping,direction_guess,risk_flags,fatal_risk_note,stage1_notes,recommendation,final_rationale
ERIR-C01,NX-102,ER-IR,R01,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,,KEEP,작은 좌절 뒤 짜증이 빠르게 커지는 높은 감정 동요를 간결하게 묻는다.
ERIR-C01,NX-102,ER-IR,R02,ER_IR,NONE,HIGH,LIMITER;SOCIAL_DESIRABILITY,NONE,감정이 빠르게 커지는 반응은 쉽지만 금방의 기준과 안정적인 답의 바람직성이 영향을 줄 수 있다.,COPY_REVISE,사소한 일이 어긋난 직후 짜증이 커지는 반응은 높은 정서 반응성을 직접 보여준다. 금방이라는 시간 기준을 상황을 확인하는 동안이라는 구체적 구간으로 바꾸면 더 안정적이다.
ERIR-C01,NX-102,ER-IR,R03,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,상황과 즉각적 감정 변화가 매우 직접적이어서 쉽게 답하지만 짜증이 적은 답이 더 바람직해 보인다.,KEEP,사소한 좌절에서 짜증이 빠르게 커지는 ER-IR 고방향이 매우 직접적이다. 일상적이고 짧아 모바일 핵심 문항으로 적합하다.
ERIR-C01,NX-102,ER-IR,R04,ER_IR,NONE,HIGH,SOCIAL_DESIRABILITY,NONE,작은 좌절에서 짜증의 강도가 빠르게 커진다.,KEEP,사소한 좌절에서 짜증이 빠르게 커져 높은 ER-IR의 정서 증가가 직접적이다. 임상 증상이나 표현 방식이 아니라 일상적 변화 속도를 묻는다.
ERIR-C01,NX-102,ER-IR,R05,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION,NONE,작은 좌절에서 불편한 감정이 빠르게 커지는 반응이 직접적이다.,KEEP,작은 좌절에서 짜증이 빠르게 커지는 반응은 ER-IR HIGH의 활성화 속도를 직접 측정한다. 감정 표현 행동이나 임상 진단과 분리되는 간결한 기준선 문항이다.
ERIR-C01,NX-102,ER-IR,R06,ER_IR,NONE,HIGH,CLINICAL_CONTAMINATION;SOCIAL_DESIRABILITY,NONE,작은 좌절에서 감정이 빠르게 커지는 반응이 명확하다.,KEEP,사소한 좌절에서 짜증이 빠르게 커지는 것은 ER-IR 높은 방향을 직접 묻는다. 진단명이나 민감한 사건을 요구하지 않는 저강도 상황이라 임상 낙인과 개인정보 위험이 낮다.
ERIR-C02,NX-037,ER-IR,R01,ER_IR,NONE,LOW,LIMITER,NONE,감정이 천천히 커져 결국 크게 동요하는 경우와 낮은 동요를 구분하기 어렵다.,COPY_REVISE,감정 변화 속도는 낮은 방향과 관련되지만 천천히 크게 커지는 경우를 배제하지 못해 최종 강도도 제한해야 한다.
ERIR-C02,NX-037,ER-IR,R02,ER_IR,NONE,LOW,LIMITER;SOCIAL_DESIRABILITY,NONE,감정의 크기가 천천히 변한다는 말은 방향이 모호하고 일상어로 다소 인공적이다.,CONSTRUCT_REWRITE,불편한 상황에서 낮은 정서 변화를 겨냥하지만 감정의 크기가 천천히 변한다는 표현은 실제 경험으로 판단하기 어렵다. 감정이 크게 흔들리지 않는 한 반응을 자연스러운 말로 새로 구성해야 한다.
ERIR-C02,NX-037,ER-IR,R03,ER_IR,NONE,LOW,LIMITER,NONE,급격한 동요의 반대는 이해되지만 감정이 천천히 커지는지 줄어드는지가 없고 천천히의 시간 기준도 모호하다.,CONSTRUCT_REWRITE,감정이 천천히 커지는지 줄어드는지 없어 ER-IR 저방향이 한 번에 정해지지 않는다. 처음보다 빠르게 커지지 않는다처럼 방향과 비교점을 명시해 다시 써야 한다.
ERIR-C02,NX-037,ER-IR,R04,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY,NONE,작은 좌절에서 감정 강도가 빠르게 커지지 않는 반응이다.,KEEP,사소한 좌절에서도 감정 크기가 천천히 변해 낮은 ER-IR 방향이 직접적이다. 감정 표현 억제나 문제 해결 능력이 아니라 내적 변화 속도를 묻는다.
ERIR-C02,NX-037,ER-IR,R05,ER_IR,NONE,LOW,NONE,NONE,좌절 상황에서도 감정 크기가 급격히 변하지 않는 낮은 방향이다.,KEEP,작은 좌절에서도 감정 크기가 천천히 변한다는 반응은 ER-IR LOW 방향을 직접 포착한다. 감정을 느끼는지와 동요 속도를 구분해 범위 기여가 크다.
ERIR-C02,NX-037,ER-IR,R06,ER_IR,NONE,LOW,SOCIAL_DESIRABILITY;LIMITER,NONE,작은 좌절에서도 감정이 급격히 확대되지 않는 낮은 동요 방향이다.,KEEP,사소한 좌절에서 감정이 천천히 변하는 것은 ER-IR 낮은 방향과 맞는다. 임상 진단과 민감한 사건을 요구하지 않는 저강도 장면이라 핵심 보조로 적절하다.
