protocol_version,claim_id,required_roles,expected_independent_reviews,received_reviews,role_decisions,disagreement_summary,adjudication_decision,approved_copy_version,adjudicator_id,adjudication_rationale,resolved_at
enakq-trait-map-expert-review.v0.1,ENAKQ.boundary.variability,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.comparison.nonjudgment,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.A,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.E,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.K,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.N,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.observation,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.conversation.Q,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.ambiguity,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.attention,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.contact,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.context,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.expression,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.fact_check,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.prompt,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.reciprocity,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.self_check,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.similarity,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.crush.uncertainty,personality_psychology;psychometrics;relationship_safety,6,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.change,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.context,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.conversation,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.decision,personality_psychology,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.rest,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.schedule,personality_psychology;psychometrics,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.daily.self_check,relationship_safety,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.adjacent_construct,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.ai_boundary,psychometrics;relationship_safety,4,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.boundary,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.content_validity,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.culture,psychometrics,2,0,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ.evidence.final_boundary,psychometrics,2,0,,,,,,,
