protocol_version,packet_version,reviewer_id,reviewer_role,wave_id,sequence_in_wave,claim_id,claim_kind,canonical_section,priority,contexts,evidence_status,publication_state,privacy_scope,required_signals,content_key,source_block_ref,source_section_title,source_excerpt,external_evidence,internal_evidence,review_reason,decision,construct_fit_rating_1_4,evidence_fit_rating_1_4,inference_scope_rating_1_4,language_safety_rating_1_4,risk_flags,required_revision,rationale,reviewer_confidence,conflict_of_interest
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,1,ENAKQ.comparison.nonjudgment,boundary,communication_guide,critical,general,SAFETY_POLICY,review_candidate,public_safe,domain_scores,trait-map.enakq.comparison.nonjudgment,ENAKQ-P14-07,자주 생기는 오해와 대화법,"본인이 아는 마음속 경험과 다른 사람이 본 행동은 서로 다른 정보를 담을 수 있어요. 성격의 자기·타인 지각 연구는 어떤 특성이 밖에서 더 잘 보이고 어떤 경험은 본인이 더 알 수 있는지에 따라 정보가 달라질 수 있다고 봐요. 어느 한쪽이 항상 더 정확하다는 뜻은 아니며, 상대가 본 행동으로 속마음을 대신 판단할 수도 없어요. 오해가 생기면 코드 설명을 증거로 내세우기보다 구체적인 장면을 말해요. 나는 A라서 너를 배려한 거야보다 약속을 미루면 편할 거라고 생각해서 묻지 않고 바꿨어라고 행동과 추측을 나누어요. 상대는 그 행동이 자신에게 어떤 영향을 줬는지 말할 수 있어요. 의도와 영향이 다를 수 있다는 사실을 코드로 승패를 가리지 않아요. 비교 리포트의 대화 질문도 상대를 분석하는 퀴즈가 아니에요. 너는 이 유형이니 이렇게 해가 아니라 이 상황에서 무엇이 편했는지, 다음에는 어떤 행동을 원했는지를 서로 답하는 구조여야 해요. 코드는 대화를 시작하는 배경이고, 실제 합의는 두 사람이 공개한 경험과 선택으로 만들어요.",dyadic 방법론+비교 정책,ENAKQ Part 5 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,2,ENAKQ.crush.boundary,boundary,person_of_interest,critical,person_of_interest,SAFETY_POLICY,review_candidate,public_safe,domain_scores;relationship_context,trait-map.enakq.crush.boundary,ENAKQ-P10-07,마음 가는 사람을 알아갈 때,"상대를 알고 싶은 마음이 커도 공개하지 않은 검사 결과와 개인 정보까지 알 권리가 생기지는 않아요. 상대가 공유한 대표 코드와 공개에 동의한 세부 성향만 볼 수 있어야 해요. 게시물, 접속 시간, 팔로우 관계를 모아 상대의 속마음이나 호감 여부를 추정하는 기능도 제공하지 않아요. 마음 가는 사람을 알아갈 때에는 네 가지를 돌아볼 수 있어요. 내가 직접 본 행동과 추측을 나누었는지, 연락과 만남에 상대가 선택할 여지가 있는지, 나도 원하는 속도와 경계를 말했는지, 답이 없거나 거절됐을 때 그 선택을 존중할 수 있는지 살펴봐요. 이는 좋은 답을 내야 사랑받는다는 시험이 아니라 자신의 다음 행동을 안전하게 고르는 질문이에요. 불확실함 때문에 잠을 거의 못 자거나 일상이 오래 무너지거나, 확인 행동을 멈추기 어렵거나, 상대가 위협과 통제를 하는 상황은 성향 가이드로 해결하지 않아요. 앱은 ENAKQ 설명 대신 믿을 수 있는 사람과 전문 지원, 필요한 안전 자원으로 연결해야 해요. 호감 관계를 이어갈지 멈출지는 코드가 아니라 본인의 선택과 실제 관계 경험으로 결정해요.",개인정보·관계 안전 정책,ENAKQ Part 4 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,3,ENAKQ.crush.similarity,boundary,person_of_interest,critical,person_of_interest,EXTERNAL_SUPPORTED_BOUNDARY,review_candidate,public_safe,domain_scores;relationship_context,trait-map.enakq.crush.similarity,ENAKQ-P10-06,마음 가는 사람을 알아갈 때,"나와 코드가 비슷한 사람에게 더 끌린다고 단정할 수 없어요. 실제 첫 만남을 조사한 한 연구에서는 Big Five 성향의 실제 유사성과 서로 비슷하다고 지각한 정도가 초기 호감과 관련되지 않았어요. 이 연구 한 편으로 모든 문화와 관계를 결론 내릴 수는 없지만, 같은 글자 수를 끌릴 가능성이나 잘 맞을 확률로 바꾸지 않아야 한다는 경계에는 도움이 돼요. 마음이 가는 이유에는 외모, 대화에서 느낀 편안함, 가치와 관심사, 만난 시기, 함께한 경험처럼 뉴앙 코드가 측정하지 않는 정보가 많아요. 같은 ENAKQ여도 좋아하는 활동과 연락 방식이 다르고, 코드가 달라도 서로의 차이를 흥미롭게 느낄 수 있어요. 뉴앙은 왜 끌렸는지 대신 설명하거나 상대의 호감을 예측하지 않아요. 비교 기능은 이 사람은 나를 좋아할까요?에 답하는 화면이 아니라, 직접 확인하면 좋은 차이를 정리하는 화면이어야 해요. 함께 있을 때의 에너지, 새로운 경험을 고르는 방식, 마음과 해결 중 먼저 주의가 가는 곳, 약속을 이어가는 방식, 불확실할 때 원하는 확인을 나눠 볼 수 있어요. 결과는 관계 판정이 아니라 대화를 시작할 질문이에요.",INITIAL-ATTRACTION-2023,ENAKQ Part 4 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,4,ENAKQ.evidence.ai_boundary,evidence_statement,limitations_and_evidence,critical,general,SAFETY_POLICY,review_candidate,public_safe,,trait-map.enakq.evidence.ai_boundary,ENAKQ-P15-05,근거와 아직 모르는 것,"성향 정보는 사용 목적과 공개 범위를 지켜야 해요. 본인 리포트, 공개 프로필, 두 사람 비교, 연구용 자료는 필요한 필드가 서로 달라요. 직접 문항 응답, 원점수, 과정 자료, 최근 정신건강과 위기 정보는 기본 비공개로 두고, 상대를 좋아하거나 가족이라는 이유로 접근 범위를 넓히지 않아요. 뉴앙 결과를 채용·승진·보험·신용·교육 기회·상대의 위험성 판정에 사용하지 않아요. 비교 기능은 관계 성공과 궁합을 예측하지 않고 두 사람이 직접 확인할 질문을 제공해요. 사용자가 공유를 취소하거나 공개 범위를 바꾸면 이후 접근을 막고, 기존 비교 결과의 공개 정보도 다시 확인해야 해요. 글과 사진, 활동 기록을 AI가 분석해 성향·호감·정신건강을 추정하지 않아요. AI는 사용자가 직접 작성한 비민감 정보를 정리하거나 문구 선택을 돕는 제한된 역할만 맡을 수 있고, 추론 근거와 실패 가능성을 숨기지 않아야 해요. 민감한 결과를 모델 학습에 쓰려면 별도이고 명확한 동의와 삭제 경로가 필요해요.",제품 안전 정책,ENAKQ Part 5 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,5,ENAKQ.evidence.intended_use,evidence_statement,limitations_and_evidence,critical,general,SAFETY_POLICY,review_candidate,public_safe,,trait-map.enakq.evidence.intended_use,ENAKQ-P15-05,근거와 아직 모르는 것,"성향 정보는 사용 목적과 공개 범위를 지켜야 해요. 본인 리포트, 공개 프로필, 두 사람 비교, 연구용 자료는 필요한 필드가 서로 달라요. 직접 문항 응답, 원점수, 과정 자료, 최근 정신건강과 위기 정보는 기본 비공개로 두고, 상대를 좋아하거나 가족이라는 이유로 접근 범위를 넓히지 않아요. 뉴앙 결과를 채용·승진·보험·신용·교육 기회·상대의 위험성 판정에 사용하지 않아요. 비교 기능은 관계 성공과 궁합을 예측하지 않고 두 사람이 직접 확인할 질문을 제공해요. 사용자가 공유를 취소하거나 공개 범위를 바꾸면 이후 접근을 막고, 기존 비교 결과의 공개 정보도 다시 확인해야 해요. 글과 사진, 활동 기록을 AI가 분석해 성향·호감·정신건강을 추정하지 않아요. AI는 사용자가 직접 작성한 비민감 정보를 정리하거나 문구 선택을 돕는 제한된 역할만 맡을 수 있고, 추론 근거와 실패 가능성을 숨기지 않아야 해요. 민감한 결과를 모델 학습에 쓰려면 별도이고 명확한 동의와 삭제 경로가 필요해요.",TEST-STANDARDS+제품 정책,ENAKQ Part 5 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,6,ENAKQ.evidence.norms,evidence_statement,limitations_and_evidence,critical,general,SAFETY_POLICY,review_candidate,public_safe,,trait-map.enakq.evidence.norms,ENAKQ-P15-03,근거와 아직 모르는 것,"영어 문항을 자연스럽게 번역하는 것만으로 한국어 검사가 완성되지 않아요. 국제 검사 적응 지침은 번역 전 조건부터 문항 개발, 경험적 확인, 시행, 점수 해석, 문서화까지 문화와 언어의 등가성을 검토하도록 안내해요. 뉴앙은 직역보다 한국어 장면에서 같은 의미로 이해되는지를 확인해야 해요. 연락, 가족 역할, 감정 표현, 회의 발언처럼 문화와 세대에 따라 기대가 다른 행동은 특히 조심해야 해요. 한 연령대와 한 생활방식에서 만든 규칙을 모두에게 적용하지 않고, 다양한 가족·관계·직업·지역 사용자가 문장을 어떻게 받아들이는지 확인해야 해요. 번역된 원척도 결과도 한국 사용자 규준으로 바로 사용할 수 없어요. 현재 뉴앙에는 운영에 사용할 공식 백분위 규준이 없어요. 사용자가 전체 이용자 중 상위 몇 퍼센트인지, 특정 코드가 얼마나 드문지 표본이 대표성을 갖기 전에는 보여주지 않아요. 앱 이용자 표본은 가입 경로와 관심 때문에 전체 인구와 다를 수 있으므로 이용자 비율을 한국인의 성향 분포라고 부르지 않아요.",Berkeley BFI+내부 정책,ENAKQ Part 5 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,7,ENAKQ.evidence.privacy,evidence_statement,limitations_and_evidence,critical,general,SAFETY_POLICY,review_candidate,public_safe,,trait-map.enakq.evidence.privacy,ENAKQ-P15-05,근거와 아직 모르는 것,"성향 정보는 사용 목적과 공개 범위를 지켜야 해요. 본인 리포트, 공개 프로필, 두 사람 비교, 연구용 자료는 필요한 필드가 서로 달라요. 직접 문항 응답, 원점수, 과정 자료, 최근 정신건강과 위기 정보는 기본 비공개로 두고, 상대를 좋아하거나 가족이라는 이유로 접근 범위를 넓히지 않아요. 뉴앙 결과를 채용·승진·보험·신용·교육 기회·상대의 위험성 판정에 사용하지 않아요. 비교 기능은 관계 성공과 궁합을 예측하지 않고 두 사람이 직접 확인할 질문을 제공해요. 사용자가 공유를 취소하거나 공개 범위를 바꾸면 이후 접근을 막고, 기존 비교 결과의 공개 정보도 다시 확인해야 해요. 글과 사진, 활동 기록을 AI가 분석해 성향·호감·정신건강을 추정하지 않아요. AI는 사용자가 직접 작성한 비민감 정보를 정리하거나 문구 선택을 돕는 제한된 역할만 맡을 수 있고, 추론 근거와 실패 가능성을 숨기지 않아야 해요. 민감한 결과를 모델 학습에 쓰려면 별도이고 명확한 동의와 삭제 경로가 필요해요.",공개·비공개 정책,ENAKQ Part 5 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,8,ENAKQ.evidence.versioning,evidence_statement,limitations_and_evidence,critical,general,SAFETY_POLICY,review_candidate,public_safe,,trait-map.enakq.evidence.versioning,ENAKQ-P15-04,근거와 아직 모르는 것,"검사 결과에는 측정 오차와 시간에 따른 변동이 있어요. 한 번의 결과가 사람의 고정된 본질은 아니며, 점수가 경계에 가까우면 두 방향이 비슷하다는 정보를 함께 보여줘야 해요. 추가 질문은 정확성을 보완할 수 있지만 어떤 경우에도 완전한 확실성을 보장하지 않아요. 같은 ENAKQ 안에서도 세부 성향 점수, 처음 드는 생각과 실제 나타나는 반응, 상황 경험이 다를 수 있어요. 대표 지도는 가능한 경향의 범위를 제공하고, 개인 리포트는 실제로 측정하고 공개가 허용된 정보만으로 범위를 좁혀야 해요. 비어 있는 정보를 역할명과 인기 유형 서사로 채우지 않아요. 문항·채점·경계·문구가 바뀌면 버전과 변경 이유를 남겨야 해요. 과거 결과를 새 기준으로 몰래 다시 해석하지 않고, 중요한 변경이 있으면 사용자에게 다시 검사할지 선택하게 해요. 연구에서 지지되지 않은 claim은 보류하거나 제거하고, 보기 좋은 문장을 지키기 위해 근거 기준을 낮추지 않아요.",제품 지식 계약,ENAKQ Part 5 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,9,ENAKQ.friend.similarity,boundary,friend,critical,friend,EXTERNAL_SUPPORTED,review_candidate,public_safe,domain_scores;relationship_context,trait-map.enakq.friend.similarity,ENAKQ-P8-06,친구와 가까워지는 방식,"같은 뉴앙 코드를 가진 친구가 더 편하다고 단정할 수 없어요. 같은 ENAKQ여도 표현 시작, 새로운 경험의 종류, 고민을 들을 때의 실제 반응, 연락 기대가 다를 수 있어요. 글자가 다른 친구와도 서로의 방식이 분명하고 존중되면 편한 관계가 될 수 있어요. 친구 비교에서는 같은 글자 수보다 함께할 때의 에너지, 새로운 활동의 선호, 고민을 들을 때 필요한 반응, 일정과 연락을 이어가는 방식, 불확실한 순간의 확인 방식을 나누어 보여주는 편이 유용해요. 공통점은 자연스럽게 편할 수 있는 시작점이고, 차이는 누가 바뀌어야 한다는 경고가 아니라 미리 물어볼 질문이에요. 성향이 비슷하게 나타났다는 결과도 두 사람이 친구로 잘 맞을 확률이 아니에요. 공유한 경험, 신뢰, 갈등 뒤 행동, 서로의 선택을 존중하는지는 코드 밖의 중요한 정보예요. 뉴앙은 우정을 판정하지 않고, 두 사람이 아직 말하지 않았던 차이를 쉽게 꺼낼 수 있도록 돕는 역할을 해야 해요.","FRIEND-DYAD-2023, FRIEND-2026",ENAKQ Part 3 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W1,10,ENAKQ.growth.privacy,boundary,strengths_and_growth,critical,general,SAFETY_POLICY,review_candidate,public_safe,domain_scores,trait-map.enakq.growth.privacy,ENAKQ-P13-08,"강점, 과하게 쓸 때, 작은 실험","성향은 비교적 반복되는 경향이지만 평생 같은 행동만 해야 한다는 뜻은 아니에요. 연구에서는 임상·비임상 개입 뒤 성격 자기보고가 달라진 사례와 디지털 개입에서 사용자가 원한 방향의 변화가 보고됐어요. 하지만 여러 요소가 포함된 수개월 개입의 결과를 뉴앙의 짧은 질문이나 작은 실험 효과로 바꿀 수는 없어요. 뉴앙의 성장 기능은 사용자가 바꾸고 싶은 행동을 직접 고르는 선택형 기능이어야 해요. 반대 글자가 되라고 권하거나, Q를 낮추고 K를 높이는 식의 좋은 방향을 정하지 않아요. 다음 한 번에 해볼 행동, 그 행동이 필요한 상황, 도움이 되었는지 확인할 기준만 정하고, 원하지 않으면 시작하지 않거나 언제든 그만둘 수 있어야 해요. 실험 기록은 본인 전용으로 두고 공개 코드나 비교 점수에 자동 반영하지 않아요. 완료 횟수로 성장 등급을 매기거나 친구와 경쟁시키지 않아요. 행동이 달라져도 대표 성향이 바뀌었다고 즉시 판정하지 않으며, 성향을 다시 확인하려면 적절한 간격·같은 기준·별도 재검사 정책이 필요해요.",개인정보·과정 비공개 정책,ENAKQ Part 5 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
