protocol_version,study_item_id,final_revision_id,rounds_completed,observation_count,retest_observation_count,mandatory_probes_complete,subgroup_gap,s0_count,s1_count,s2_unresolved_count,s3_unresolved_count,decision,decision_rationale,revision_text_if_any,retest_required,final_revision_confirmed,adjudicator_ids,status
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-001,SERE-C01,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-002,OEAE-C01,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-003,ROEC-P02-A,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-004,SMEP-C01,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-005,ERIR-C01,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-006,SEAI-C01,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-007,OECI-C01,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-008,SMOS-C01,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-009,ERWD-C01,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-010,OEIE-C11,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-011,SERE-C02,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-012,OEAE-C02,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-013,ROEC-P01-A,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-014,SMEP-C02,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-015,ERIR-C02,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-016,SEAI-C02,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-017,OECI-C12,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-018,SMOS-C10-r2,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-019,ERWD-C02,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-020,OEIE-C04,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-021,SERE-C06,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-022,OEAE-C04,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-023,ROEC-P05-B,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-024,SMEP-C04,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-025,ERIR-C04,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-026,SEAI-C10,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-027,OECI-C04,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-028,SMOS-C13,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-029,ERWD-C08,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-030,OEIE-C12,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-031,SERE-C05,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-032,OEAE-C03,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-033,ROEC-P05-A,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-034,SMEP-C03,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-035,ERIR-C03,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-036,SEAI-C03,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-037,OECI-C07,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-038,SMOS-C03,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-039,ERWD-C03,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-040,OEIE-C01,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-041,SERE-C07,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-042,OEAE-C05,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-043,ROEC-R02-A,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-044,SMEP-C05,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-045,ERIR-C05,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-046,SEAI-C07,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-047,OECI-C11,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-048,SMOS-C07,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-049,ERWD-C07,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-050,OEIE-C03,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-051,SERE-C08,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-052,OEAE-C08,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-053,ROEC-R03-G,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-054,SMEP-C06,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-055,ERIR-C06,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-056,SEAI-C04,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-057,OECI-C10,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-058,SMOS-C08-r3,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-059,ERWD-C10,,,,,,,,,,,,,,,,NOT_REVIEWED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-060,OEIE-C02,,,,,,,,,,,,,,,,NOT_REVIEWED
