claim_id,priority,required_roles,canonical_block_ref,source_parts,evidence_status,publication_state,review_reason
ENAKQ.boundary.variability,high,psychometrics;relationship_safety,ENAKQ-P3-ALL-01,1;2;3;4;5,NUANG_MAPPED_PROVISIONAL,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.comparison.nonjudgment,critical,psychometrics;relationship_safety,ENAKQ-P14-07,5,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.A,high,relationship_safety,ENAKQ-P14-03,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.E,high,relationship_safety,ENAKQ-P14-01,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.K,high,relationship_safety,ENAKQ-P14-04,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.N,high,relationship_safety,ENAKQ-P14-02,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.observation,high,relationship_safety,ENAKQ-P14-07,5,COGNITIVE_REVIEW_REQUIRED,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.conversation.Q,high,relationship_safety,ENAKQ-P14-05,5,HOLD,research_only,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.ambiguity,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-03,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.attention,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-04,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.boundary,critical,psychometrics;relationship_safety,ENAKQ-P10-07,4,SAFETY_POLICY,review_candidate,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.contact,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-05,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.context,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-01,4,COGNITIVE_REVIEW_REQUIRED,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.expression,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-02,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.fact_check,high,psychometrics;relationship_safety,ENAKQ-P10-03,4,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.prompt,high,psychometrics;relationship_safety,ENAKQ-P10-05,4,COGNITIVE_REVIEW_REQUIRED,research_only,"필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
ENAKQ.crush.reciprocity,high,personality_psychology;psychometrics;relationship_safety,ENAKQ-P10-05,4,HOLD,research_only,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토 | 필수 측정 입력, 근거 적합성, 점수로부터의 추론 범위를 검토 | 관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토"
