claim_id,priority,required_roles,role_decisions,construct_fit_mean,evidence_fit_mean,inference_scope_mean,language_safety_mean,risk_flags,internal_disposition,required_revision_summary,rationale_summary,external_review_status,registry_mutation_permitted
ENAKQ.boundary.variability,high,psychometrics;relationship_safety,psychometrics:revise;relationship_safety:accept,4.00,3.00,3.50,4.00,evidence_mismatch,REVISE_BEFORE_NEXT_GATE,psychometrics: 개인 리포트에서 변동성을 언급하려면 점수 신뢰도·검사-재검사·상태 영향 자료와 불확실성 표기 규칙을 먼저 확정하고 현재는 일반 경계 문구로만 사용한다.,psychometrics: 상태와 상황에 따른 변동 가능성은 지지되지만 ENAKQ 개인 점수의 변동 폭과 경계 처리 방식은 아직 검증되지 않았다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 다섯 글자를 고정 행동이나 가치 서열로 합치지 않고 상황과 점수와 별도 측정 정보의 순서를 명확히 한다.,NOT_STARTED,false
ENAKQ.comparison.nonjudgment,critical,psychometrics;relationship_safety,psychometrics:accept;relationship_safety:accept,4.00,3.50,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,psychometrics: 측정값을 상대의 속마음이나 관계 판정으로 확장하지 않는 안전 경계이며 현재 입력 범위를 넘는 개인화 추론을 요구하지 않는다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 코드로 의도와 영향을 판정하지 않고 당사자가 공개한 경험과 선택을 우선하는 안전 경계가 명확하다.,NOT_STARTED,false
ENAKQ.conversation.A,high,relationship_safety,relationship_safety:accept,3.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: A를 친절과 공감 능력으로 평가하지 않고 현재 필요한 지원을 직접 묻는 선택형 대화로 바꾼다.,NOT_STARTED,false
ENAKQ.conversation.E,high,relationship_safety,relationship_safety:accept,3.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: E를 사교성 우열과 연락 책임으로 만들지 않고 참여 방식과 현재 상태를 확인하게 한다.,NOT_STARTED,false
ENAKQ.conversation.K,high,relationship_safety,relationship_safety:accept,3.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: K와 M을 도덕성과 신뢰도의 서열로 만들지 않고 환경과 분담을 함께 확인한다.,NOT_STARTED,false
ENAKQ.conversation.N,high,relationship_safety,relationship_safety:accept,3.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: N과 R을 지능이나 개방성의 가치 판단으로 만들지 않고 탐색과 결정 단계의 차이로 다룬다.,NOT_STARTED,false
ENAKQ.conversation.observation,high,relationship_safety,relationship_safety:accept,4.00,4.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: 내적 경험과 관찰 행동을 구분하고 상대의 속마음을 코드로 대신 판단하지 않도록 한다.,NOT_STARTED,false
ENAKQ.conversation.Q,high,relationship_safety,relationship_safety:accept,4.00,3.00,4.00,4.00,,INTERNAL_ACCEPT_NOT_APPROVED,,relationship_safety: INTERNAL_AGENT_CRITIQUE: 감정 활성화와 비난이나 통제 행동을 분리하고 말하지 않을 선택과 지원 범위를 보장한다.,NOT_STARTED,false
ENAKQ.crush.ambiguity,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,1.67,3.33,unmeasured_inference;evidence_mismatch,HOLD_FOR_MORE_EVIDENCE,personality_psychology: N 단일 경향의 조건부 예시와 N·A·Q 조합 가설을 분리하고 조합 문장은 상호작용 검증 전 노출하지 않는다. | psychometrics: 운영 보류. N·Q 단일 점수로 호감 관계의 모호성 반응을 예측하지 말고 관계 불확실성·상황 강도·반복 반응을 직접 측정해 증분타당도를 확인한다. | relationship_safety: N·A·Q 조합에서 관계가 멀어지는 설명에 오래 머문다는 개인화 문장을 운영 노출에서 제외하고 해당 장면을 직접 반복 측정한 경우에만 자기관찰 가설로 제시한다.,personality_psychology: 가능성 탐색과 마음 읽기를 구분한 경계는 적절하지만 세 자리 조합이 부정적 관계 설명에 오래 머문다는 증분 효과는 측정되지 않았다. | psychometrics: 인접 구성개념 설명만으로 특정 관계 장면의 사고·행동을 개인에게 발급할 수 없다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 애착과 집착으로 낙인찍지 않는 경계는 좋지만 검증되지 않은 조합 가설 자체가 관계 불안을 강화할 수 있다.,NOT_STARTED,false
ENAKQ.crush.attention,high,personality_psychology;psychometrics;relationship_safety,personality_psychology:revise;psychometrics:insufficient_evidence;relationship_safety:revise,2.33,1.67,2.00,3.33,evidence_mismatch;unmeasured_inference,HOLD_FOR_MORE_EVIDENCE,personality_psychology: A 점수에서 관찰 행동을 바로 예측하지 말고 관계 주의의 자기보고 경향과 실제 표현 수정 행동을 별도 신호로 구분한다. | psychometrics: 운영 보류. 상대에게 향한 주의 내용과 빈도를 직접 묻는 반복 장면 자료와 A 점수의 수렴·변별 자료를 확보한다. | relationship_safety: 메시지를 여러 번 고치거나 대화 속도를 맞춘다는 행동은 A 점수로 제시하지 말고 사용자가 직접 보고한 반복 행동이 있을 때만 선택형 문장으로 노출한다.,personality_psychology: 상대 상태에 주의가 향한다는 정의에는 맞지만 표현을 여러 번 고치고 속도를 맞춘다는 행동 일반화는 A 단일 점수의 근거 범위를 넘는다. | psychometrics: A 영역 점수만으로 마음 가는 상대에게 어떤 정보가 먼저 신경 쓰이는지 추론하는 근거가 부족하다. | relationship_safety: INTERNAL_AGENT_CRITIQUE: 선택권과 거절 존중은 적절하지만 A에서 연애 연락 행동으로 건너가는 추론은 직접 측정되지 않았다.,NOT_STARTED,false
