claim_id,decision,construct_fit_rating_1_4,evidence_fit_rating_1_4,inference_scope_rating_1_4,language_safety_rating_1_4,risk_flags,required_revision,rationale,reviewer_confidence
"ENAKQ.comparison.nonjudgment","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 코드로 의도와 영향을 판정하지 않고 당사자가 공개한 경험과 선택을 우선하는 안전 경계가 명확하다.","high"
"ENAKQ.crush.boundary","revise","4","3","3","3","clinical_overreach","일상 기능 저하 안내와 즉각적 위험 안내를 분리하고 즉각 위험에는 지역별 긴급 지원과 신뢰할 수 있는 사람에게 연결하는 별도 흐름을 명시한다.","INTERNAL_AGENT_CRITIQUE: 비동의 정보 추론을 금지하는 점은 적절하지만 서로 다른 위험 수준을 한 문단에서 다뤄 사용자가 필요한 지원의 긴급도를 구분하기 어렵다.","high"
"ENAKQ.crush.similarity","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 코드 유사성을 호감과 궁합 확률로 변환하지 않고 측정하지 않은 관계 정보를 분리한다.","high"
"ENAKQ.evidence.ai_boundary","revise","4","4","3","3","privacy_scope","비민감 입력도 결합 시 민감 추론이 될 수 있음을 밝히고 외부 모델 전송 여부와 보관 기간과 삭제와 이차 이용 금지와 사람의 이의 제기 경로를 제품 계약에 추가한다.","INTERNAL_AGENT_CRITIQUE: 성향과 호감과 정신건강 추론 금지는 강하지만 비민감 정보 정리라는 예외의 처리 범위가 넓어 재식별과 이차 추론 여지가 남는다.","high"
"ENAKQ.evidence.intended_use","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 고용과 보험과 교육과 위험성 판정 및 관계 예측을 명시적으로 금지해 차별과 결정론 위험을 잘 제한한다.","high"
"ENAKQ.evidence.norms","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 문화와 세대와 가족 형태의 차이를 인정하고 앱 표본을 한국인 규준으로 오인하지 않게 하는 보호 경계가 적절하다.","high"
"ENAKQ.evidence.privacy","revise","4","4","3","3","privacy_scope","민감 필드의 수집 최소화와 보관 기간과 철회 후 파생 결과 삭제와 접근 기록과 미성년자 처리 원칙을 별도 데이터 계약으로 명시한다.","INTERNAL_AGENT_CRITIQUE: 기본 비공개와 동의 철회는 적절하지만 실제 개인정보 수명주기와 파생 데이터 삭제 범위가 아직 정의되지 않았다.","high"
"ENAKQ.evidence.versioning","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 결과의 변동과 측정 오차와 버전 변경을 숨기지 않고 과거 결과를 소급 재해석하지 않는 원칙이 안전하다.","high"
"ENAKQ.friend.similarity","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 친구 코드 유사성을 관계 적합성으로 판정하지 않고 구체적 경험과 합의로 돌리는 문구가 비결정론적이다.","high"
"ENAKQ.growth.privacy","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 성장 행동을 자발적이고 중단 가능한 본인 전용 기록으로 두며 등급화와 경쟁을 금지해 자율성과 개인정보를 보호한다.","high"
"ENAKQ.partner.similarity","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 같은 코드와 다른 코드를 궁합이나 약점으로 만들지 않고 직접 확인할 기대와 질문으로 제한한다.","high"
"ENAKQ.stress.clinical_boundary","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 성향지도가 정신건강 선별과 상담을 대신하지 않음을 밝히고 진단과 원인 추정을 금지한다.","high"
"ENAKQ.stress.safety","revise","4","4","3","2","clinical_overreach;other","자해와 타해와 폭력과 즉각 위험 신호에는 성향 콘텐츠를 중단하고 위치에 맞는 응급 번호와 위기 상담과 신뢰할 수 있는 사람 연결을 우선하는 실행 계약을 둔다.","INTERNAL_AGENT_CRITIQUE: 안전 우선 원칙은 옳지만 필요한 안전 자원이라는 추상 표현만으로는 실제 위기 상황의 즉시 행동을 보장하지 못한다.","high"
"ENAKQ.work.boundary","accept","4","4","4","4","none","","INTERNAL_AGENT_CRITIQUE: 직업 적합성과 성과를 예측하지 않고 고용 의사결정과 동의 없는 동료 조회를 금지해 차별 위험을 줄인다.","high"
