attempt_ref,NU_B1_001,NU_B1_002,NU_B1_003,NU_B1_004,NU_B1_005,NU_B1_006,NU_B1_007,NU_B1_008,NU_B1_009,NU_B1_010,NU_B1_011,NU_B1_012,NU_B1_013,NU_B1_014,NU_B1_015,NU_B1_016,NU_B1_017,NU_B1_018,NU_B1_019,NU_B1_020,NU_B1_021,NU_B1_022,NU_B1_023,NU_B1_024,NU_B1_025,NU_B1_026,NU_B1_027,NU_B1_028,NU_B1_029,NU_B1_030,NU_B1_031,NU_B1_032,NU_B1_033,NU_B1_034,NU_B1_035,NU_B1_036,NU_B1_037,NU_B1_038,NU_B1_039,NU_B1_040,NU_B1_041,NU_B1_042,NU_B1_043,NU_B1_044,NU_B1_045,NU_B1_046,NU_B1_047,NU_B1_048,NU_B1_049,NU_B1_050,NU_B1_051,NU_B1_052,NU_B1_053,NU_B1_054,NU_B1_055,NU_B1_056,NU_B1_057,NU_B1_058,NU_B1_059,NU_B1_060
synthetic-0001,3,,4,3,,3,2,1,3,3,5,5,1,1,1,4,3,5,2,3,5,4,3,2,2,4,4,4,3,4,2,3,3,4,4,3,2,4,4,2,3,1,3,,2,3,3,3,3,2,3,4,1,5,4,5,2,3,3,4
synthetic-0002,5,4,2,4,4,5,3,4,3,2,1,2,4,4,4,3,3,4,4,3,,2,2,5,3,3,4,3,3,4,5,4,4,3,4,4,4,2,2,2,4,5,1,3,4,4,4,5,2,2,3,1,3,3,3,3,2,4,3,4
synthetic-0003,3,2,5,3,2,4,1,1,4,1,2,5,1,4,,1,4,4,3,5,3,5,2,1,3,4,4,3,1,2,3,1,4,3,1,4,3,2,3,1,4,1,5,2,4,3,1,2,3,3,1,5,3,1,2,3,3,3,4,5
synthetic-0004,3,3,4,3,1,5,3,3,3,3,1,1,1,5,5,2,1,2,2,2,3,3,1,3,5,,2,2,4,2,5,3,3,3,2,4,4,4,2,1,2,4,5,4,3,4,1,4,2,1,5,2,1,4,4,2,1,2,4,2
synthetic-0005,3,4,1,3,3,4,3,1,2,5,3,2,5,5,1,3,3,5,2,2,4,3,3,4,3,3,3,5,2,2,2,4,2,3,3,5,3,2,3,5,4,5,2,3,2,2,5,1,2,5,2,3,5,5,2,3,2,5,2,3
synthetic-0006,1,5,3,4,2,1,4,4,2,4,4,2,4,2,4,5,1,5,1,1,5,2,4,1,4,5,2,4,5,1,1,5,3,3,3,1,4,4,1,4,1,5,3,4,1,1,5,3,3,5,5,3,4,3,2,5,1,2,3,1
synthetic-0007,5,3,2,5,3,5,3,5,4,1,1,5,2,3,2,2,,4,4,3,1,4,4,2,,1,2,3,3,5,4,4,3,4,3,3,,5,3,3,5,3,1,5,3,2,5,4,3,1,,2,3,2,,3,3,3,4,5
synthetic-0008,2,2,2,5,4,1,2,4,2,1,4,5,3,1,1,3,4,1,4,4,5,,1,2,3,5,5,2,5,5,3,3,3,5,,2,1,5,3,1,2,2,3,5,4,2,1,3,2,2,4,3,3,2,3,3,4,1,4,4
synthetic-0009,5,4,3,2,3,2,2,2,4,4,4,2,1,2,3,4,5,3,3,4,2,2,2,5,2,4,5,2,2,3,2,1,2,4,5,3,3,4,3,4,2,2,4,3,4,2,4,4,2,2,,2,2,2,3,4,4,1,1,2
synthetic-0010,1,4,1,3,4,1,4,2,3,2,5,2,4,1,2,4,3,2,2,2,5,,3,4,1,4,1,1,,3,2,4,1,3,4,2,3,3,5,1,2,3,4,2,5,3,4,4,2,2,5,3,3,4,4,5,4,3,3,2
synthetic-0011,5,3,4,3,4,2,3,3,3,3,4,5,2,2,2,3,5,2,2,4,2,5,3,3,1,4,4,,4,3,4,4,5,3,3,2,2,3,3,2,3,3,5,4,4,3,4,3,1,2,4,4,1,4,5,3,2,2,2,5
synthetic-0012,4,3,2,1,5,3,1,1,3,1,4,4,2,4,3,4,4,5,5,5,2,5,,5,4,2,5,5,4,5,4,2,4,1,3,2,3,1,1,1,3,5,,1,2,3,1,1,3,2,1,4,3,2,2,,5,3,4,5
synthetic-0013,1,3,3,3,1,3,5,3,3,1,5,1,3,2,4,4,2,,3,3,4,1,4,3,4,2,3,3,4,2,1,4,4,1,2,2,5,3,4,5,1,4,2,2,2,2,5,2,3,3,5,4,4,3,3,5,1,3,4,1
synthetic-0014,4,5,2,2,3,3,4,3,2,1,2,3,5,4,2,3,1,3,3,1,3,1,4,5,3,1,3,2,3,,,4,3,2,3,5,3,3,4,4,1,3,3,2,2,2,3,4,1,4,2,4,5,5,3,3,2,4,4,3
synthetic-0015,3,,3,5,1,,4,2,2,1,3,2,2,5,4,5,2,5,5,5,2,5,2,3,5,2,1,3,4,5,2,4,4,3,2,3,2,4,2,3,1,2,4,,2,1,4,4,1,2,4,2,1,3,5,3,2,5,4,2
synthetic-0016,3,2,4,3,2,3,2,1,2,2,5,3,5,4,4,5,5,2,2,3,5,5,5,2,4,4,3,,2,3,2,3,3,4,2,4,2,4,3,3,1,2,2,2,1,4,2,2,4,2,5,5,4,4,5,4,4,5,2,4
synthetic-0017,4,5,4,5,4,3,4,4,1,3,4,1,3,2,3,4,1,4,5,2,5,1,2,3,3,3,4,3,5,3,1,3,4,3,4,2,5,2,4,3,1,4,4,2,2,1,3,2,3,4,5,4,4,3,3,4,2,3,5,5
synthetic-0018,3,1,2,3,4,1,2,2,3,3,5,5,5,4,2,4,3,1,3,4,3,5,4,3,2,4,5,2,2,4,2,2,4,5,4,3,2,5,3,3,2,2,2,4,5,2,4,3,1,2,5,5,4,2,1,,2,2,,5
synthetic-0019,2,2,1,4,,2,1,2,4,1,3,5,5,2,2,3,3,4,5,,4,3,2,3,2,3,4,3,4,4,2,3,3,2,4,3,3,2,3,1,2,3,1,2,2,2,3,4,2,1,4,4,4,3,3,3,3,4,5,5
synthetic-0020,4,3,2,2,5,4,1,,1,4,2,3,4,4,3,3,2,5,4,3,2,3,3,2,1,3,5,2,4,3,5,3,1,4,4,3,3,3,1,4,3,3,2,4,3,2,2,1,,3,1,3,4,2,2,4,2,4,4,2
synthetic-0021,1,3,2,3,3,2,4,3,2,5,3,1,4,4,5,4,1,4,2,3,5,3,3,4,4,3,2,2,2,2,3,4,1,2,5,1,5,1,4,5,3,5,1,4,1,1,5,2,5,5,5,3,4,4,4,2,1,5,1,4
synthetic-0022,3,3,5,4,4,3,5,4,4,5,3,3,3,1,3,1,1,1,1,1,2,5,1,2,3,1,2,3,4,1,3,3,3,3,4,5,4,4,3,5,1,2,4,3,5,4,5,3,1,3,3,4,2,4,3,1,2,3,5,1
synthetic-0023,3,5,4,1,5,2,2,3,4,3,3,3,2,2,3,3,2,4,5,3,1,2,3,5,3,3,5,5,3,4,4,2,5,4,3,4,2,2,2,3,4,1,2,1,,3,2,1,2,2,3,5,2,2,4,4,4,4,4,3
