protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,first_construct_mapping,second_construct_mapping,direction_guess,clarity_rating_1_4,single_response_rating_1_4,universality_rating_1_4,scale_fit_rating_1_4,desirable_direction_guess,risk_flags,fatal_risk_note,stage1_notes
m04-core-expert-kit.v0.1,R06,W1,1,NX-147,내가 한 것을 다른 사람이 확인할 예정일 때,해야 할 행동의 시작 시점은 크게 달라지지 않는다.,ER_WD,SM_EP,LOW,3,3,4,4,LOW,ADJACENT_CONSTRUCT;LIMITER,NONE,평가 앞 주저를 묻지만 시작 행동과도 겹치며 크게의 기준이 주관적이다.
m04-core-expert-kit.v0.1,R06,W1,2,NX-027,미뤄도 당장 문제없는 할 일이 생겼을 때,해야 할 때가 가까워지기 전에 첫 행동을 시작한다.,SM_EP,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,미룰 수 있는 과제에서도 일찍 착수하는 반복 반응을 직접 묻는다.
m04-core-expert-kit.v0.1,R06,W1,3,NX-050,공동 활동의 다음 순서가 정해지지 않았을 때,진행할 방법을 먼저 제안한다.,SE_AI,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,공동 결정 장면에서 제안을 먼저 밖으로 꺼내는 반응이 명확하다.
m04-core-expert-kit.v0.1,R06,W1,4,NX-033,금방 끝낼 수 있는 부탁을 들어주기로 했을 때,다시 생각났을 때 처리한다.,METHOD,SM_RL,UNCLEAR,2,3,3,3,UNCLEAR,MEMORY;ADJACENT_CONSTRUCT,NONE,부탁 이행보다 언제 다시 기억나는지가 응답을 크게 좌우한다.
m04-core-expert-kit.v0.1,R06,W1,5,NX-038,이야기의 다음 내용을 알기 전,이어질 장면을 머릿속으로 떠올려본다.,OE_CI,METHOD,HIGH,4,4,3,4,SIMILAR,ABILITY,NONE,상상 확장을 직접 묻지만 자발적 시각 심상 능력 차이가 개입한다.
m04-core-expert-kit.v0.1,R06,W1,6,NX-008,여러 날에 걸쳐 해야 하는 일이 있을 때,중간에 긴 공백이 생기지 않도록 나눠서 이어간다.,SM_EP,NONE,HIGH,4,4,3,4,HIGH,SOCIAL_DESIRABILITY,NONE,여러 날 과제를 나누어 지속하는 반응이 직접적이나 시간 여건 영향은 남는다.
m04-core-expert-kit.v0.1,R06,W1,7,NX-001,해야 할 일이 몇 가지 겹쳐 있을 때,그때 눈에 띄는 일부터 처리한다.,SM_OS,SM_EP,LOW,3,3,3,4,HIGH,ATTENTION;ADJACENT_CONSTRUCT,NONE,구조화하지 않은 처리 순서를 시사하지만 주의 포착과 긴급도가 섞일 수 있다.
m04-core-expert-kit.v0.1,R06,W1,8,NX-121,함께하는 방식에 작은 조정이 필요할 때,상대가 물어본 뒤 필요한 부분을 말한다.,SE_AI,NONE,LOW,3,4,3,4,SIMILAR,CULTURAL_ROLE;ADJACENT_CONSTRUCT,NONE,먼저 표현하는 정도를 묻지만 위계와 예절 규범이 발화 순서를 바꿀 수 있다.
m04-core-expert-kit.v0.1,R06,W1,9,NX-123,끝내기까지 작은 마무리만 남았을 때,다른 일로 넘어가기 전에 남은 부분을 마친다.,SM_EP,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,전환 전에 마무리를 끝내는 지속 반응을 분명히 묻는다.
m04-core-expert-kit.v0.1,R06,W1,10,NX-003,여러 단계를 거친 일을 마치기 전에,눈에 걸리는 부분이 있을 때 다시 살핀다.,NONE,SM_EP,UNCLEAR,2,3,3,3,HIGH,ADJACENT_CONSTRUCT,NONE,재검토는 완벽주의나 품질 확인에 가까워 코드북 구성개념으로 안정적 분류가 어렵다.
m04-core-expert-kit.v0.1,R06,W1,11,NX-069,상대의 답이나 반응이 늦어질 때,답이 오기 전까지 한 가지 좋지 않은 이유에 오래 머물지 않는다.,ER_WD,NONE,LOW,3,4,4,4,LOW,NEGATION;CLINICAL_CONTAMINATION;LIMITER,NONE,불확실한 대인 반응에 대한 걱정 지속을 묻지만 부정문과 오래의 기준이 있다.
m04-core-expert-kit.v0.1,R06,W1,12,NX-094,상대의 말이 끝난 뒤 해결 방법이 떠올랐을 때,상대가 더 말하고 싶은지 확인한 뒤 내 생각을 말한다.,RO_EC,RO_RN,HIGH,4,3,4,4,HIGH,SOCIAL_DESIRABILITY;CULTURAL_ROLE,NONE,해결책보다 상대 마음과 발화 여지를 먼저 확인하는 반응이며 규범적 정답이 강하다.
m04-core-expert-kit.v0.1,R06,W1,13,NX-053,결과가 아직 정해지지 않은 일을 기다릴 때,잘못될 가능성을 오래 생각하지 않는다.,ER_WD,NONE,LOW,4,4,4,4,LOW,NEGATION;CLINICAL_CONTAMINATION;LIMITER,NONE,불확실성에서 부정적 가능성에 머무는 정도를 직접 묻는다.
m04-core-expert-kit.v0.1,R06,W1,14,NX-058,함께 준비한 일이 잘 풀리지 않았을 때,처음에는 함께한 사람들의 마음에 주의가 간다.,RO_EC,NONE,HIGH,4,4,3,4,HIGH,SOCIAL_DESIRABILITY;CULTURAL_ROLE,NONE,문제와 사람 마음이 함께 있는 장면에서 마음에 먼저 주의를 두는 반응이다.
