protocol_version,reviewer_slot,sequence,opaque_item_id,context_label,prompt_text,target_facet,keyed_direction,intended_response_process,target_relevance_rating_1_4,key_direction_fit_rating_1_4,coverage_contribution_rating,adjacent_separation_rating_1_4,recommendation,final_rationale
m04-oe-expert-kit.v0.1,R02,1,OX-026,처음 보는 기능이 있는 생활용품을 사용할 때,어떻게 쓰는지만 확인하고 바로 사용한다.,OE-IE,LOW,사용 범위에서 탐색 종료,,,,,,
m04-oe-expert-kit.v0.1,R02,2,OX-014,영상이나 사진의 한 장면을 볼 때,그 장면이 주는 인상을 곱씹어본다.,OE-AE,HIGH,표현물 인상 성찰,,,,,,
m04-oe-expert-kit.v0.1,R02,3,OX-004,일상에서 음악을 들을 때,그 인상에 머무는 시간은 짧다.,OE-AE,LOW,청각 인상 짧은 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,4,OX-031,이야기의 다음 내용을 알기 전,지금까지 나온 이야기만 되짚어보며 기다린다.,OE-CI,LOW,현재 서사에 머무는 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,5,OX-006,영화나 드라마의 중간 장면만 우연히 봤을 때,그 장면만 보고 앞뒤 이야기는 따로 떠올려보지 않는다.,OE-CI,LOW,전후 서사를 따로 생성하지 않음,,,,,,
m04-oe-expert-kit.v0.1,R02,6,OX-019,하늘이나 나무 같은 일상 풍경을 볼 때,색과 분위기가 주는 인상에 눈길이 간다.,OE-AE,HIGH,환경 인상 관심,,,,,,
m04-oe-expert-kit.v0.1,R02,7,OX-034,일상에서 색과 빛이 어우러진 장면을 볼 때,그 인상에 눈길이 오래 머문다.,OE-AE,HIGH,시각 인상 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,8,OX-030,하나의 가벼운 가능성이 떠올랐을 때,처음 떠오른 장면만 생각하고 다른 일로 넘어간다.,OE-CI,LOW,첫 가능성에 머무는 관여,,,,,,
m04-oe-expert-kit.v0.1,R02,9,OX-008,가보지 않은 공간에 대한 설명을 접할 때,설명된 내용까지만 생각하고 넘어간다.,OE-CI,LOW,설명 범위에서 사고 종료,,,,,,
m04-oe-expert-kit.v0.1,R02,10,OX-023,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,이용에 필요한 방법만 확인한다.,OE-IE,LOW,적용 방법에서 탐색 종료,,,,,,
m04-oe-expert-kit.v0.1,R02,11,OX-017,현실과 다른 가벼운 가정을 접할 때,그 안에서 일어날 장면을 이어서 떠올린다.,OE-CI,HIGH,비위협 가정의 전개 확장,,,,,,
m04-oe-expert-kit.v0.1,R02,12,OX-009,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,지금 들은 설명에만 관심을 둔다.,OE-IE,LOW,현재 정보에만 관여,,,,,,
