protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,target_domain,target_facet,keyed_direction,response_layer,evidence_role,score_role,intended_response_process,target_relevance_rating_1_4,key_direction_fit_rating_1_4,coverage_contribution_rating,adjacent_separation_rating_1_4,recommendation,final_rationale
m04-core-expert-kit.v0.1,R06,W3,1,NX-091,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,왜 그렇게 정해졌는지 배경이 궁금해진다.,OE,OE-IE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,규칙 배경 관심,4,4,SOME,2,COPY_REVISE,이용 규칙의 배경이 궁금한 것은 OE-IE 높은 방향과 맞는다. 앱 접근과 디지털 문해 및 규칙 교육 경험을 전제하므로 종이나 구두 안내 같은 비디지털 상황도 포함해야 한다.
m04-core-expert-kit.v0.1,R06,W3,2,NX-017,가깝지는 않은 사람이 힘든 일을 꺼낼 때,그 사람이 느낀 마음보다 일어난 일이 먼저 궁금해진다.,RO,RO-EC,LOW,REPORTED_FIRST_ORIENTATION,CORE_BASELINE,CORE_TRAIT_EVIDENCE,REPORTED_FIRST_ORIENTATION,4,4,SOME,3,HOLD,가깝지 않은 사람의 힘든 일에서 사건이 먼저 궁금한 것은 RO-EC 낮은 방향이다. 그러나 공감 규범과 문화별 관계 거리 기대 때문에 냉정함으로 낙인될 수 있어 핵심 채택 전 편향 검증이 필요하다.
m04-core-expert-kit.v0.1,R06,W3,3,NX-080,해보려던 일이 한 번 잘되지 않았을 때,다시 해도 잘되지 않을 장면이 반복해서 떠오른다.,ER,ER-WD,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,실패 예상 반복,3,4,SOME,1,CONSTRUCT_REWRITE,실패 장면이 반복되는 것은 ER-WD 높은 방향과 관련되지만 시각 심상 능력과 침투 사고 및 임상 불안이 응답을 지배할 수 있다. 실패 가능성 생각 때문에 다음 시도를 미루는 행동으로 다시 써야 한다.
m04-core-expert-kit.v0.1,R06,W3,4,NX-052,비슷한 일을 반복해서 처리할 때,다음에도 따를 수 있는 순서를 만들어둔다.,SM,SM-OS,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,반복 절차 생성,4,4,IMPORTANT,3,COPY_REVISE,반복해서 따를 순서를 만드는 것은 SM-OS 높은 방향을 직접 묻는다. 반복 업무 경험 차이를 줄이도록 집안일과 취미를 포함한 일상 반복 행동으로 맥락을 넓히면 좋다.
m04-core-expert-kit.v0.1,R06,W3,5,NX-150,반복해서 쓰는 물건이나 자료를 둘 때,그때 쓰기 편한 곳에 둔다.,SM,SM-OS,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,현재 편의 기반 위치,3,4,SOME,2,COPY_REVISE,그때 편한 곳에 두는 것은 SM-OS 낮은 방향과 관련되지만 좁은 공간과 이동 제약 및 보조기기 사용이 위치를 정할 수 있다. 선택 가능한 공간이 충분한 조건을 넣어야 한다.
m04-core-expert-kit.v0.1,R06,W3,6,NX-067,사람들과 부담 없이 시간을 보낸 뒤,혼자 조용히 회복할 시간이 필요해진다.,SE,SE-RE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,교류 후 회복 필요,4,4,IMPORTANT,4,KEEP,부담 없는 교류 뒤 혼자 조용히 회복하고 싶은 반응은 SE-RE 낮은 방향을 직접 묻는다. 실제로 혼자 있을 공간이 있는지가 아니라 필요감을 묻고 특정 관계 상태도 전제하지 않는다.
m04-core-expert-kit.v0.1,R06,W3,7,NX-024,중요하게 생각하는 문제에서 의견이 다를 때,내 의견을 말한 뒤 상대가 선택할 여지를 남긴다.,RO,RO-RN,HIGH,ENACTED_RESPONSE,PRIVATE_DETAIL_RESEARCH,CORE_TRAIT_EVIDENCE,ENACTED_RESPONSE,4,4,IMPORTANT,3,KEEP,자기 의견을 말하면서 상대 선택 여지를 남기는 행동은 RO-RN 높은 방향을 잘 포착한다. 사회적 바람직성은 높지만 비공개 상세이며 자기표현 부족과도 구분된다.
m04-core-expert-kit.v0.1,R06,W3,8,NX-107,여럿이 일을 나눠 맡았을 때,필요한 시점 전에 내 부분의 진행 상태를 확인한다.,SM,SM-RL,HIGH,SINGLE_RESPONSE,CONDITIONAL_MAIN,CONDITIONAL_TRAIT_EVIDENCE,사전 진행 확인,4,4,IMPORTANT,3,COPY_REVISE,필요 시점 전에 진행을 확인하는 것은 SM-RL 높은 방향의 좋은 조건부 증거다. 직업적 분업 경험이 없는 사용자도 답하도록 가정과 모임의 역할을 함께 제시해야 한다.
m04-core-expert-kit.v0.1,R06,W3,9,NX-012,작은 불편이 짧은 시간 안에 반복될 때,불편이 반복되어도 감정의 크기는 비슷하게 유지된다.,ER,ER-IR,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,반복 중 낮은 증가,4,4,SOME,4,KEEP,반복되는 작은 불편에도 감정 크기가 비슷한 것은 ER-IR 낮은 방향과 맞는다. 감정 억제나 표현 방식 대신 내적 변화를 묻고 임상 진단이나 개인정보를 요구하지 않는다.
m04-core-expert-kit.v0.1,R06,W3,10,NX-011,함께 있던 사람이 평소보다 지쳐 보일 때,그 사람이 괜찮은지 자연스럽게 신경이 간다.,RO,RO-EC,HIGH,REPORTED_FIRST_ORIENTATION,CORE_BASELINE,CORE_TRAIT_EVIDENCE,REPORTED_FIRST_ORIENTATION,3,4,SOME,2,HOLD,지쳐 보이는 사람을 자연스럽게 신경 쓰는 것은 RO-EC 높은 방향과 관련된다. 돌봄을 맡아야 한다는 성별 및 가족 역할 규범과 착한 사람 응답이 강해 핵심 증거로 쓰기 전 보류가 필요하다.
