protocol_version,study_item_id,form_id,order_index,item_revision_id,source_beta_item_id,source_research_item_id,replaced_source_candidate_id,domain_id,facet_id,keyed_direction,context_label,prompt_text,source_review_status,revision_source,priority_issue,comprehension_probe,recall_probe,judgment_probe,response_probe,desirability_probe,access_probe,seam_probe,pass_evidence,status
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-001,FORM_A,1,SERE-C01,NU-B1-001,NX-051,,SE,SE-RE,HIGH,익숙한 사람들과 대화가 이어질 때,기운이 점점 살아난다.,PASS_TO_COGNITIVE,content-seed/items/core-beta-item-set.v1.0.json,상호작용 뒤의 에너지 변화가 사교 능력·친구 수·불안으로 바뀌어 해석되지 않는지 확인,이 문장에서 사람들과 어울린 뒤의 어떤 변화를 묻는다고 이해했나요?,최근 6개월의 어떤 실제 만남이나 대화 경험을 떠올렸나요?,답을 고를 때 사람을 잘 대하는 능력보다 에너지 변화를 기준으로 삼았나요?,선택한 응답과 실제 경험 사이에서 망설인 지점이 있었나요?,더 외향적이거나 사교적으로 보이는 답이 더 좋아 보여 영향을 줬나요?,"만남의 기회, 건강, 원격 생활 같은 조건이 답에 크게 영향을 줬나요?",상황 문구와 질문이 하나의 자연스러운 장면으로 이어졌나요?,사교 능력이나 만남 횟수가 아니라 상호작용 뒤 에너지 변화로 설명하고 응답을 고른다.,PREPARED_NOT_RUN
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-017,FORM_A,2,OECI-C12,NU-B1-017,NX-070,,OE,OE-CI,LOW,하나의 가벼운 가능성이 떠올랐을 때,처음 떠오른 장면만 생각하고 다른 일로 넘어간다.,PASS_TO_COGNITIVE,content-seed/items/core-beta-item-set.v1.0.json,앞뒤 이야기를 떠올리는 경향이 기억력·예측력·창의력·걱정으로 바뀌어 해석되지 않는지 확인,본 장면 밖의 내용을 떠올린다는 말을 어떻게 이해했나요?,"최근 6개월에 영상, 대화, 장면을 본 뒤 실제로 무엇을 떠올린 경험을 사용했나요?",답을 고를 때 기억을 잘하는지보다 보이지 않은 앞뒤를 확장하는 경향을 봤나요?,문항의 두 방향이 충분히 다르게 느껴졌나요?,상상력이 풍부해 보이는 답이 더 좋아 보여 영향을 줬나요?,콘텐츠 소비 빈도나 경험 기회가 답에 영향을 줬나요?,상황과 질문을 붙여 읽었을 때 뜻이 한 번에 들어왔나요?,기억력·예측력·걱정이 아니라 주어진 장면의 앞뒤 가능성을 자연스럽게 확장하는 경향으로 설명한다.,PREPARED_NOT_RUN
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-043,FORM_A,3,ROEC-R02-A,NU-B1-043,NX-089,,RO,RO-EC,HIGH,가깝지는 않은 사람이 힘든 일에 대한 내 의견을 물을 때,처음에는 그 사람이 어떤 마음이었는지가 궁금해진다.,COPY_REVISE,content-seed/items/core-beta-item-set.v1.0.json,처음 드는 생각에서 마음과 원인 중 어디가 먼저 눈에 들어오는지를 친절함·냉정함·문제 해결 능력으로 오해하지 않는지 확인,이 장면에서 가장 먼저 드는 생각을 묻는다고 이해했나요?,최근 6개월에 누군가의 어려움을 들었던 어떤 실제 상황을 떠올렸나요?,처음 든 생각과 실제로 상대에게 보인 반응을 따로 구분해 답했나요?,마음과 원인이 모두 떠올랐다면 무엇을 기준으로 한 응답을 골랐나요?,상대의 마음을 살피는 답이 더 배려 깊어 보여 영향을 줬나요?,상대와의 관계나 사건의 심각도가 평소의 첫 생각보다 더 크게 작용했나요?,상황 전제와 질문 안에 같은 정보가 겹쳐 읽기 어려웠나요?,친절함이나 해결 능력이 아니라 처음 드는 생각이 마음과 원인 중 어디를 먼저 향했는지로 설명한다.,PREPARED_NOT_RUN
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-051,FORM_A,4,SERE-C08,NU-B1-051,NX-067,,SE,SE-RE,LOW,사람들과 부담 없이 시간을 보낸 뒤,혼자 조용히 회복할 시간이 필요해진다.,PASS_TO_COGNITIVE,content-seed/items/core-beta-item-set.v1.0.json,상호작용 뒤의 에너지 변화가 사교 능력·친구 수·불안으로 바뀌어 해석되지 않는지 확인,이 문장에서 사람들과 어울린 뒤의 어떤 변화를 묻는다고 이해했나요?,최근 6개월의 어떤 실제 만남이나 대화 경험을 떠올렸나요?,답을 고를 때 사람을 잘 대하는 능력보다 에너지 변화를 기준으로 삼았나요?,선택한 응답과 실제 경험 사이에서 망설인 지점이 있었나요?,더 외향적이거나 사교적으로 보이는 답이 더 좋아 보여 영향을 줬나요?,"만남의 기회, 건강, 원격 생활 같은 조건이 답에 크게 영향을 줬나요?",상황 문구와 질문이 하나의 자연스러운 장면으로 이어졌나요?,사교 능력이나 만남 횟수가 아니라 상호작용 뒤 에너지 변화로 설명하고 응답을 고른다.,PREPARED_NOT_RUN
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-002,FORM_A,5,OEAE-C01,NU-B1-002,NX-074,,OE,OE-AE,HIGH,일상에서 색과 빛이 어우러진 장면을 볼 때,그 인상에 눈길이 오래 머문다.,PASS_TO_COGNITIVE,content-seed/items/core-beta-item-set.v1.0.json,인상·감각에 머무는 관심이 감각 능력·취향의 우수성·예술성으로 바뀌어 해석되지 않는지 확인,무엇을 보고 들은 뒤 관심이 어디에 머무는지를 어떻게 이해했나요?,최근 6개월에 인상이나 느낌이 남았던 어떤 경험을 떠올렸나요?,답을 고를 때 감각이 예민한 정도보다 관심의 방향을 기준으로 삼았나요?,두 응답 사이의 차이를 말로 설명할 수 있었나요?,감각적이거나 현실적인 답 중 하나가 더 세련돼 보여 영향을 줬나요?,문화 경험이나 취미 기회의 차이가 답을 제한했나요?,상황 문구와 질문이 같은 말을 반복한다고 느꼈나요?,감각 능력이나 취향 평가가 아니라 경험 뒤 관심이 인상·느낌에 머무는 경향으로 설명한다.,PREPARED_NOT_RUN
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-016,FORM_A,6,SEAI-C02,NU-B1-016,NX-055,,SE,SE-AI,LOW,여럿이 간단한 선택을 정할 때,다른 사람이 선택지를 꺼낸 뒤 내 의견을 보탠다.,PASS_TO_COGNITIVE,content-seed/items/core-beta-item-set.v1.0.json,표현을 시작하는 순서가 리더십·자신감·말하기 능력·문화적 기회로 바뀌어 해석되지 않는지 확인,이 문장은 생각이나 감정을 표현하는 과정의 어느 부분을 묻는다고 이해했나요?,최근 6개월에 실제로 의견이나 감정을 표현한 어떤 장면을 떠올렸나요?,답을 고를 때 표현을 먼저 시작하는 방식과 표현 능력을 구분했나요?,상대나 장소에 따라 답이 달라져 하나를 고르기 어려웠나요?,먼저 말하는 쪽이나 신중하게 말하는 쪽이 더 좋아 보여 영향을 줬나요?,"말할 기회, 언어 환경, 관계의 힘 차이가 평소 성향보다 더 크게 작용했나요?",상황 문구 뒤에 질문이 중복 없이 자연스럽게 이어졌나요?,리더십이나 말하기 능력이 아니라 표현을 시작하는 순서와 방식으로 설명한다.,PREPARED_NOT_RUN
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-010,FORM_A,7,OEIE-C11,NU-B1-010,NX-023,,OE,OE-IE,HIGH,궁금했던 질문의 답을 찾았을 때,그 답이 나온 이유나 배경까지 더 알아본다.,PASS_TO_COGNITIVE,content-seed/items/core-beta-item-set.v1.0.json,필요한 이해 뒤의 추가 탐구가 이해력·지능·정보 접근성으로 바뀌어 해석되지 않는지 확인,필요한 내용을 이해한 뒤 더 알아본다는 말을 어떻게 구분했나요?,최근 6개월에 이해를 마친 뒤에도 더 찾아본 실제 경험을 떠올렸나요?,필요해서 더 본 것과 이유나 배경 자체가 궁금해서 더 본 것을 구분했나요?,알아보고 싶은 마음과 실제 알아본 행동 중 무엇으로 답했나요?,더 알아보는 답이 더 지적이거나 좋은 답처럼 보여 영향을 줬나요?,"시간, 기기, 검색 환경, 추가 설명 접근 여부가 선택을 바꿨나요?",상황 문구만으로 이미 질문에 답한 느낌이 들지는 않았나요?,이해 능력이나 접근 성공이 아니라 필요한 범위 이후에도 탐구를 이어가는 경향으로 설명한다.,PREPARED_NOT_RUN
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-013,FORM_A,8,ROEC-P01-A,NU-B1-013,NX-047,,RO,RO-EC,LOW,누군가 속상한 일과 해결할 문제를 함께 이야기할 때,원인과 해결할 부분이 먼저 눈에 들어온다.,COPY_REVISE,content-seed/items/core-beta-item-set.v1.0.json,처음 드는 생각에서 마음과 원인 중 어디가 먼저 눈에 들어오는지를 친절함·냉정함·문제 해결 능력으로 오해하지 않는지 확인,이 장면에서 가장 먼저 드는 생각을 묻는다고 이해했나요?,최근 6개월에 누군가의 어려움을 들었던 어떤 실제 상황을 떠올렸나요?,처음 든 생각과 실제로 상대에게 보인 반응을 따로 구분해 답했나요?,마음과 원인이 모두 떠올랐다면 무엇을 기준으로 한 응답을 골랐나요?,상대의 마음을 살피는 답이 더 배려 깊어 보여 영향을 줬나요?,상대와의 관계나 사건의 심각도가 평소의 첫 생각보다 더 크게 작용했나요?,상황 전제와 질문 안에 같은 정보가 겹쳐 읽기 어려웠나요?,친절함이나 해결 능력이 아니라 처음 드는 생각이 마음과 원인 중 어디를 먼저 향했는지로 설명한다.,PREPARED_NOT_RUN
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-004,FORM_A,9,SMEP-C01,NU-B1-004,NX-027,,SM,SM-EP,HIGH,미뤄도 당장 문제없는 할 일이 생겼을 때,해야 할 때가 가까워지기 전에 첫 행동을 시작한다.,PASS_TO_COGNITIVE,content-seed/items/core-beta-item-set.v1.0.json,시작·복귀·지속 경향이 능력·시간 여유·도덕성·임상적 주의 문제로 바뀌어 해석되지 않는지 확인,이 문장에서 일을 시작하거나 다시 이어가는 어떤 습관을 묻는다고 이해했나요?,최근 6개월에 실제로 시작하거나 중단 뒤 돌아간 어떤 일을 떠올렸나요?,능력이나 시간 부족이 아니라 평소 시작·지속 방식을 기준으로 답했나요?,일의 종류에 따라 달랐다면 어떤 경험에 더 무게를 뒀나요?,끝까지 하는 답이 더 성실해 보여 영향을 줬나요?,"건강, 돌봄, 업무량, 주의 관련 어려움이 평소 성향처럼 답에 섞였나요?",상황과 질문을 이어 읽을 때 하나의 행동만 묻는다고 느꼈나요?,능력·도덕성·임상 상태가 아니라 일을 시작하고 중단 뒤 돌아가며 이어가는 평소 경향으로 설명한다.,PREPARED_NOT_RUN
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,GC1-019,FORM_A,10,ERWD-C02,NU-B1-019,NX-053,,ER,ER-WD,LOW,결과가 아직 정해지지 않은 일을 기다릴 때,잘못될 가능성을 오래 생각하지 않는다.,PASS_TO_COGNITIVE,content-seed/items/core-beta-item-set.v1.0.json,걱정의 반복과 망설임이 필요한 점검·신중함·능력·최근 스트레스·진단으로 바뀌어 해석되지 않는지 확인,같은 걱정을 되짚는 것과 필요한 확인을 하는 것을 어떻게 구분했나요?,최근 6개월에 걱정 때문에 결정을 미루거나 같은 생각을 반복한 경험을 떠올렸나요?,정보가 더 필요해서 확인한 것과 같은 걱정을 반복한 것을 구분했나요?,걱정한 횟수와 실제 행동이 늦어진 정도 중 무엇으로 답했나요?,신중해 보이거나 과감해 보이는 답이 더 좋아 보여 영향을 줬나요?,"최근 스트레스, 건강, 경제 상황 같은 조건이 평소 성향보다 크게 작용했나요?",상황 문구와 질문이 함께 있을 때 걱정과 행동 지연의 관계가 분명했나요?,필요한 점검이나 최근 스트레스가 아니라 같은 걱정을 반복하며 판단이 지연되는 평소 경향으로 설명한다.,PREPARED_NOT_RUN
