protocol_version,packet_version,reviewer_id,reviewer_role,wave_id,sequence_in_wave,claim_id,claim_kind,canonical_section,priority,contexts,evidence_status,publication_state,privacy_scope,required_signals,content_key,source_block_ref,source_section_title,source_excerpt,external_evidence,internal_evidence,review_reason,decision,construct_fit_rating_1_4,evidence_fit_rating_1_4,inference_scope_rating_1_4,language_safety_rating_1_4,risk_flags,required_revision,rationale,reviewer_confidence,conflict_of_interest
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,1,ENAKQ.crush.ambiguity,observable_response,person_of_interest,high,person_of_interest,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.crush.ambiguity,ENAKQ-P10-03,마음 가는 사람을 알아갈 때,"상대의 반응이 분명하지 않을 때 N은 한 장면의 앞뒤와 여러 이유를 떠올리는 쪽으로 나타날 수 있어요. 짧은 답장이 바쁜 하루 때문인지, 대화를 끝내고 싶은 것인지, 어떤 답을 할지 고민하는 것인지 여러 가능성을 생각할 수 있어요. 가능성을 넓히는 것 자체는 상대의 마음을 정확히 읽는 능력도, 근거 없이 상상하는 문제도 아니에요. A로 상대 마음이 신경 쓰이고 Q로 좋지 않은 가능성에 걱정이 빨리 커지면, 여러 설명 중 관계가 멀어지는 이야기에 오래 머물 수 있다는 가설을 세울 수 있어요. 하지만 N·A·Q 조합의 증분 효과는 아직 뉴앙 자료로 검증되지 않았어요. 상대 행동을 많이 생각했다는 사실만으로 과잉 해석, 집착, 질투, 애착 불안이라고 이름 붙이지 않아요. 생각이 커질 때에는 세 줄로 나누어 볼 수 있어요. 직접 본 사실은 무엇인지, 그 사실에서 내가 떠올린 설명은 무엇인지, 상대에게 아직 묻지 않은 부분은 무엇인지 적어 보는 방식이에요. 예를 들어 어제 보낸 메시지에 아직 답이 없다는 사실이고, 마음이 멀어졌다는 가능한 설명 중 하나예요. 이 구분은 걱정을 무시하지 않으면서 확인할 질문을 분명하게 해요.",N/Q 단일 정의,ENAKQ Part 4 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,2,ENAKQ.crush.attention,inner_thought,person_of_interest,high,person_of_interest,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.crush.attention,ENAKQ-P10-04,마음 가는 사람을 알아갈 때,"A가 선명하면 내가 어떻게 보이는지뿐 아니라 상대가 이 연락을 편하게 느낄지, 지금 이야기할 여유가 있는지 신경 쓰일 수 있어요. 말을 보내기 전에 표현을 여러 번 고치거나 상대 반응을 살피며 대화 속도를 맞출 수도 있어요. 이는 관계에서 주의가 상대 마음으로 향할 수 있다는 설명이지, 상대 마음을 정확히 알아맞히거나 늘 배려 있게 행동한다는 평가가 아니에요. 상대를 신경 쓰는 것과 상대가 원하는 것을 대신 결정하는 것은 달라요. 바쁠 것 같으니 연락하지 말아야겠다고 혼자 정했지만 상대는 짧은 안부를 반겼을 수 있어요. 반대로 좋은 의도로 계속 상태를 물어도 상대는 답해야 한다는 부담을 느낄 수 있어요. 마음을 추측해 행동을 정하기보다 선택할 수 있는 질문을 건네는 편이 더 많은 정보를 줘요. 오늘 잠깐 이야기해도 괜찮아?, 이번 주와 다음 주 중 언제가 편해?, 답은 여유 있을 때 해도 괜찮아처럼 상대가 편한 범위를 말할 수 있게 물어볼 수 있어요. 이런 질문을 썼다고 호감이 생기거나 관계가 좋아진다고 보장하지 않아요. 상대가 거절하거나 답하지 않을 선택도 함께 존중해야 질문이 실제 선택권이 돼요.",A 정의,ENAKQ Part 4 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,3,ENAKQ.crush.contact,observable_response,person_of_interest,high,person_of_interest,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.crush.contact,ENAKQ-P10-05,마음 가는 사람을 알아갈 때,"연락의 편한 속도는 코드로 정하지 않아요. 하루에 몇 번 연락해야 관심이 있는지, 얼마 만에 답해야 예의인지 모든 관계에 적용할 기준은 없어요. 일과 수면 시간, 알림 습관, 글과 통화 중 편한 방식, 아직 관계가 가까워진 정도가 모두 달라요. 자주 연락하는 것과 서로 편한 연락을 하는 것도 같은 뜻이 아니에요. 연락을 시작하는 사람이 늘 한쪽이라면 횟수만으로 마음의 크기를 비교하기보다 패턴을 직접 확인할 수 있어요. 상대는 먼저 연락하는 것을 어려워하지만 대화에는 기쁘게 참여할 수 있고, 반대로 답은 친절해도 새로운 만남을 원하지 않을 수 있어요. 한 가지 신호를 전체 관계의 뜻으로 바꾸지 않고, 여러 번의 실제 행동과 상대가 말한 의사를 함께 봐야 해요. 확인이 필요할 때에는 시험하거나 떠보는 행동보다 자신의 바람을 짧게 말할 수 있어요. 나는 다음에 또 만나고 싶은데 너는 어때?, 연락을 이어가도 편한지 궁금해처럼 묻는 방식이에요. 답을 재촉하거나 애매한 답을 동의로 바꾸지 않아요. 상대의 말과 경계를 존중하는 일은 성향의 문제가 아니라 모든 관계에 필요한 안전 기준이에요.",관계 불확실성 연구 간접,ENAKQ Part 4 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,4,ENAKQ.crush.context,context_hypothesis,person_of_interest,high,person_of_interest,COGNITIVE_REVIEW_REQUIRED,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.crush.context,ENAKQ-P10-01,마음 가는 사람을 알아갈 때,"마음이 가는 사람을 알아가는 시기에는 아직 확인되지 않은 부분이 많아요. 상대도 나에게 관심이 있는지, 연락을 어느 정도 편하게 느끼는지, 다음 만남을 원하는지 분명하지 않을 수 있어요. 같은 답장과 표정도 기대하는 마음, 최근 경험, 관계의 단계에 따라 다르게 받아들이기 쉬워요. 이때 생기는 불확실함은 ENAKQ만의 특징이 아니에요. ENAKQ의 다섯 자리는 이런 시기에 무엇이 조금 더 눈에 들어올 수 있는지 살펴보는 단서예요. 사람과 연결되고 싶은 E, 여러 가능성을 펼치는 N, 상대 마음에 주의가 가는 A, 시작한 관계를 이어가려는 K, 좋지 않은 가능성에 걱정이 빨리 커질 수 있는 Q가 각각 나타날 수 있어요. 다섯 방향이 언제나 함께 움직이거나 호감이 생기면 더 강해진다고 단정하지 않아요. 관계를 아직 정하지 않은 단계에서는 애착 유형, 연애 방식, 관계에 대한 확신을 코드로 붙이지 않아요. 먼저 연락하지 못했다고 내향적이거나 관심이 적은 것도 아니고, 답을 기다리며 걱정했다고 관계 불안을 가진 것도 아니에요. 호감의 크기, 거절 경험, 상대와의 권력 차이, 안전, 주변에 관계가 알려질 가능성처럼 코드 밖의 조건을 먼저 봐야 해요.",RELATIONAL-UNCERTAINTY+상황 연구,ENAKQ Part 4 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,5,ENAKQ.crush.expression,observable_response,person_of_interest,high,person_of_interest,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.crush.expression,ENAKQ-P10-02,마음 가는 사람을 알아갈 때,"E가 편하게 나타나는 사람은 대화를 먼저 시작하거나 다음 만남을 제안할 수 있어요. 공통 관심사를 발견하면 질문을 이어가고, 함께하고 싶은 일을 말로 꺼낼 수도 있어요. 평소 표현을 먼저 시작하는 경향이 관계를 알아가는 장면에서도 나타날 수 있다는 뜻이지, 누구에게나 거리낌 없이 다가가거나 호감을 능숙하게 표현한다는 뜻은 아니에요. 마음이 클수록 오히려 말을 고르느라 평소보다 조용해질 수도 있어요. 상대에게 부담을 주고 싶지 않거나 거절 뒤의 어색함이 걱정되면 표현을 미룰 수 있어요. 반대로 평소에는 천천히 친해지는 사람도 상대의 반응이 분명하고 안전하다고 느끼면 먼저 연락할 수 있어요. 한 번의 적극적이거나 조용한 행동으로 E의 진위나 마음의 크기를 판단하지 않아요. 개인 리포트가 있다면 사람과 함께할 때의 에너지와 먼저 표현하기를 나누어 봐야 해요. 함께 있을 때 즐거워도 연락 시작은 조심스러울 수 있고, 먼저 말을 잘 꺼내도 만남 뒤 혼자 쉬는 시간이 필요할 수 있어요. 대표 E만 보이는 공개 비교에서는 두 세부 성향이 모두 강하다고 쓰지 않아요.",E 정의+상황 변산,ENAKQ Part 4 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,6,ENAKQ.crush.reciprocity,observable_response,person_of_interest,high,person_of_interest,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.crush.reciprocity,ENAKQ-P10-05,마음 가는 사람을 알아갈 때,"연락의 편한 속도는 코드로 정하지 않아요. 하루에 몇 번 연락해야 관심이 있는지, 얼마 만에 답해야 예의인지 모든 관계에 적용할 기준은 없어요. 일과 수면 시간, 알림 습관, 글과 통화 중 편한 방식, 아직 관계가 가까워진 정도가 모두 달라요. 자주 연락하는 것과 서로 편한 연락을 하는 것도 같은 뜻이 아니에요. 연락을 시작하는 사람이 늘 한쪽이라면 횟수만으로 마음의 크기를 비교하기보다 패턴을 직접 확인할 수 있어요. 상대는 먼저 연락하는 것을 어려워하지만 대화에는 기쁘게 참여할 수 있고, 반대로 답은 친절해도 새로운 만남을 원하지 않을 수 있어요. 한 가지 신호를 전체 관계의 뜻으로 바꾸지 않고, 여러 번의 실제 행동과 상대가 말한 의사를 함께 봐야 해요. 확인이 필요할 때에는 시험하거나 떠보는 행동보다 자신의 바람을 짧게 말할 수 있어요. 나는 다음에 또 만나고 싶은데 너는 어때?, 연락을 이어가도 편한지 궁금해처럼 묻는 방식이에요. 답을 재촉하거나 애매한 답을 동의로 바꾸지 않아요. 상대의 말과 경계를 존중하는 일은 성향의 문제가 아니라 모든 관계에 필요한 안전 기준이에요.",dyadic 방법론+제품 가설,ENAKQ Part 4 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,7,ENAKQ.crush.uncertainty,inner_thought,person_of_interest,high,person_of_interest,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.crush.uncertainty,ENAKQ-P10-01,마음 가는 사람을 알아갈 때,"마음이 가는 사람을 알아가는 시기에는 아직 확인되지 않은 부분이 많아요. 상대도 나에게 관심이 있는지, 연락을 어느 정도 편하게 느끼는지, 다음 만남을 원하는지 분명하지 않을 수 있어요. 같은 답장과 표정도 기대하는 마음, 최근 경험, 관계의 단계에 따라 다르게 받아들이기 쉬워요. 이때 생기는 불확실함은 ENAKQ만의 특징이 아니에요. ENAKQ의 다섯 자리는 이런 시기에 무엇이 조금 더 눈에 들어올 수 있는지 살펴보는 단서예요. 사람과 연결되고 싶은 E, 여러 가능성을 펼치는 N, 상대 마음에 주의가 가는 A, 시작한 관계를 이어가려는 K, 좋지 않은 가능성에 걱정이 빨리 커질 수 있는 Q가 각각 나타날 수 있어요. 다섯 방향이 언제나 함께 움직이거나 호감이 생기면 더 강해진다고 단정하지 않아요. 관계를 아직 정하지 않은 단계에서는 애착 유형, 연애 방식, 관계에 대한 확신을 코드로 붙이지 않아요. 먼저 연락하지 못했다고 내향적이거나 관심이 적은 것도 아니고, 답을 기다리며 걱정했다고 관계 불안을 가진 것도 아니에요. 호감의 크기, 거절 경험, 상대와의 권력 차이, 안전, 주변에 관계가 알려질 가능성처럼 코드 밖의 조건을 먼저 봐야 해요.",RELATIONAL-UNCERTAINTY 간접,ENAKQ Part 4 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,8,ENAKQ.daily.change,observable_response,daily_life,high,general,HOLD,research_only,comparison_safe,domain_scores,trait-map.enakq.daily.change,ENAKQ-P6-05,일상의 선택과 회복,"예상하지 못한 변화가 생기면 걱정과 감정이 빠르게 올라오면서도 필요한 일을 정리하려 할 수 있어요. 약속 장소가 갑자기 바뀌면 새 이동 방법을 찾고 다른 사람에게 알리면서, 늦거나 누군가 불편해질 가능성을 함께 걱정할 수 있어요. 겉으로 해결을 이어가는 모습과 마음속 부담은 동시에 존재할 수 있어요. 이런 순간에 ENAKQ에게 무조건 일단 진정하세요라고 말하거나, 반대로 바로 해결만 요구하는 것은 적절하지 않을 수 있어요. 어떤 사람은 확인된 사실을 짧게 정리하면 편하고, 어떤 사람은 걱정을 말로 꺼내야 정리가 되며, 어떤 사람은 잠깐 혼자 생각할 시간이 필요해요. 편한 지원 방식은 대표 코드가 아니라 본인의 경험과 후속 질문으로 확인해야 해요. 변화를 겪은 뒤에는 실제로 일어난 일과 머릿속에서 예상한 일을 구분해 볼 수 있어요. 이것은 걱정이 잘못됐다고 평가하는 방법이 아니에요. 다음에 비슷한 상황이 생겼을 때 어떤 정보가 필요했고 무엇이 실제 도움이 되었는지 알아보기 위한 기록이에요. 걱정이 일상 기능을 오래 방해하거나 감당하기 어렵다면 성향 설명만으로 해결하려 하지 않고 적절한 전문 도움을 찾을 수 있어야 해요.",K/Q 단일 정의+상황 연구,ENAKQ Part 2 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,9,ENAKQ.daily.conversation,observable_response,daily_life,high,general,HOLD,research_only,comparison_safe,domain_scores,trait-map.enakq.daily.conversation,ENAKQ-P6-02,일상의 선택과 회복,"편안한 대화에서는 상대와 말을 주고받을수록 생각이 선명해지고, 새로운 주제를 이어가며 상대 반응을 살피는 모습이 나타날 수 있어요. 필요한 질문을 먼저 꺼내거나, 여러 사람이 함께 이야기할 때 아직 말하지 않은 사람에게 자연스럽게 기회를 줄 수도 있어요. 대화가 멈추면 새로운 주제를 제안해 흐름을 이어가려 할 수 있어요. 하지만 모든 대화를 계속 이어가야 편한 것은 아니에요. 상대가 짧게 답하거나 혼자 있고 싶어 할 때에는 먼저 말을 꺼내는 습관이 부담이 될 수 있어요. 반대로 상대 반응을 너무 많이 살피면 하고 싶었던 말을 미루거나, 상대가 괜찮다고 했는데도 뜻을 다시 추측할 수 있어요. 지금 더 이야기하고 싶은지, 내 생각도 들어보고 싶은지처럼 대화의 방향을 짧게 확인하는 선택이 도움이 될 수 있어요. 메시지에서는 표정과 말투를 바로 확인하기 어려워 E·A·Q의 모습이 다르게 나타날 수 있어요. 답장을 먼저 보내 대화를 이어가고 싶으면서도, 짧은 문장을 보고 상대가 불편한지 여러 의미를 떠올릴 수 있어요. 이때 답장 속도나 문장 길이만으로 상대 마음을 정하지 않는 편이 좋아요. 다만 바로 묻는 것이 편한지 기다리는 것이 편한지는 사람과 관계마다 달라서 ENAKQ 공통 규칙으로 정하지 않아요.",IPC 간접+EA 가설,ENAKQ Part 2 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,personality_psychology,W1,10,ENAKQ.daily.decision,observable_response,daily_life,high,general,HOLD,research_only,comparison_safe,domain_scores,trait-map.enakq.daily.decision,ENAKQ-P6-03,일상의 선택과 회복,"무언가를 고를 때에는 N이 선택지를 넓히고 K가 결정 뒤의 흐름을 이어가려는 모습이 함께 나타날 수 있어요. 여행 장소를 정할 때 새로운 지역과 활동을 찾아보고, 기준을 정한 뒤에는 예약과 준비를 차례로 이어갈 수 있어요. 작은 구매에서도 제품의 배경과 여러 사용 방법을 알아보다가 선택 기준을 정리할 수 있어요. 선택지가 많아질수록 더 만족스러운 결정을 한다고 볼 수는 없어요. 새로운 정보를 찾는 일이 재미있어 결정을 늦출 수 있고, 이미 세운 계획을 유지하고 싶어 더 나은 새 정보가 들어와도 바꾸기 불편할 수 있어요. 무엇을 더 알아봐야 하는지와 언제 선택을 끝낼지를 나누어 생각하면 N의 탐색과 K의 지속이 서로 방해하는 지점을 알아차리기 쉬워요. 개인에게 편한 방식은 세부 점수와 상황에 따라 달라요. 선택지를 세 개로 줄이는 것이 편할 수도 있고, 먼저 꼭 필요한 조건을 정하는 것이 편할 수도 있고, 중요한 결정만 충분히 탐색하고 작은 결정은 빠르게 끝내는 것이 편할 수도 있어요. 이것들은 검사가 정해 주는 정답이 아니라 본인에게 맞는 방식을 찾기 위한 실험이에요.",N/K 단일 정의,ENAKQ Part 2 claim mapping,"구성개념 경계, 상태·성향 구분, 상황 일반화와 조합 해석을 검토",,,,,,,,,,
